rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/std,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/learning_rate
989.0,1250,1802240,1440,88,3.8821295499999993,0.012964566,0.0029267989410254815,0.5865732431411743,0.43310290575027466,870,0.001772188491304405,0.015122535638511181,0.2,-1.7332408168166875,0.1454638671875,0.0003
989.0,1264,1822720,1441,89,3.89840303,0.012708778,0.0029822316819627303,0.580734372138977,0.43847453594207764,880,0.0019345079884806181,0.012363684363663197,0.2,-1.7169937252998353,0.1386669921875,0.0003
989.0,1279,1843200,1441,90,3.92482753,0.013491345,0.003011456873755378,0.5753287076950073,0.4403902292251587,890,0.0007265039689082187,-0.005190290044993162,0.2,-1.6986503215506672,0.14162109375,0.0003
989.0,1293,1863680,1441,91,3.9075704300000003,0.012848809,0.003193391518143471,0.5708743333816528,0.43260401487350464,900,0.0012257988433702848,0.021724697202444077,0.2,-1.6820481764152646,0.1387646484375,0.0003
989.0,1307,1884160,1440,92,3.9420517,0.011928646,0.0030420537818099547,0.5719184875488281,0.4455200433731079,910,0.002001387845957652,-0.00909060426056385,0.2,-1.6813446176424622,0.141357421875,0.0003
989.0,1321,1904640,1440,93,3.95704469,0.012360217,0.0032679317695146893,0.5715593099594116,0.4486274719238281,920,0.0015139905648538844,-0.014359181746840477,0.2,-1.6865127836167813,0.1444873046875,0.0003
989.0,1336,1925120,1440,94,3.9729043800000006,0.0123412125,0.003138904125044064,0.5684285759925842,0.4406049847602844,930,0.002235321752814343,-0.010105189867317677,0.2,-1.6718208744376897,0.1398583984375,0.0003
989.0,1350,1945600,1440,95,4.001148499999999,0.012288732,0.0032282000322084057,0.5704165101051331,0.4443151354789734,940,0.0018491894933686127,0.04008027911186218,0.2,-1.6723794611915945,0.1450341796875,0.0003
989.0,1364,1966080,1440,96,4.03542263,0.012504354,0.0032952040631789715,0.5717392563819885,0.4430564045906067,950,0.001997737210476771,0.03448543697595596,0.2,-1.6765311359986663,0.14958984375,0.0003
989.0,1379,1986560,1440,97,4.03347709,0.012370646,0.0031997741353370656,0.5698636174201965,0.45238834619522095,960,0.0015986785068525932,-0.006135966163128614,0.2,-1.67650675162673,0.1464990234375,0.0003
989.0,1393,2007040,1440,98,4.06723841,0.012967122,0.0033213495121890446,0.5661926865577698,0.44497042894363403,970,0.0024733936837583316,0.012242931872606277,0.2,-1.659398295097053,0.1401611328125,0.0003
989.0,1407,2027520,1440,99,4.103380059999999,0.014100036,0.003326868474832736,0.5620743632316589,0.44810980558395386,980,0.0027698476026125716,-0.017059355974197388,0.2,-1.6408807311207056,0.150244140625,0.0003
