time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/std,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/entropy_loss
1446,454656,0.022477869999999997,130.0,37,314,0.11527258157730103,-0.00022080008105452483,360,0.761976957321167,0.008382938,0.01140783354640007,0.2,0.0003,0.0892333984375,0.00037068782836134536,-2.2988306478907665
1451,466944,0.01890593,130.0,38,321,0.12356698513031006,-0.0004523476129785801,370,0.7528566122055054,0.0072699194,-0.0008529569604434073,0.2,0.0003,0.08915201822916667,0.00037378718509444296,-2.276731046537558
1444,479232,0.01680012,130.0,39,331,0.1529386043548584,-0.00033434212952367185,380,0.7505541443824768,0.008427373,0.00139235716778785,0.2,0.0003,0.09961751302083334,0.00036287309227039564,-2.2663705656925837
1448,491520,0.01997032,130.0,40,339,0.144497811794281,-0.0006505981572748472,390,0.7418227195739746,0.007590422,-0.004921415355056524,0.2,0.0003,0.09403483072916667,0.0004386763413852653,-2.2456784130384526
1453,503808,0.0184481,130.0,41,346,0.12942594289779663,-0.0006209462153492495,400,0.732810914516449,0.008986789,0.005759240593761206,0.2,0.0003,0.0902099609375,0.00039197857346759217,-2.2198209670682747
1457,516096,0.017016450000000002,130.0,42,354,0.1443328857421875,-0.00017661726512111878,410,0.722481369972229,0.008006332,0.0028147799894213676,0.2,0.0003,0.09893391927083334,0.00040577129893790696,-2.1950172040611506
1461,528384,0.021099040000000003,130.0,43,361,0.15164023637771606,-0.0007874366126391882,420,0.7118409872055054,0.008518224,-0.0011969315819442272,0.2,0.0003,0.10523274739583334,0.0003939077198083396,-2.165399363885323
1465,540672,0.02290054,130.0,44,368,0.12652546167373657,-0.0004010257630094808,430,0.7119495868682861,0.008665831,0.005720364861190319,0.2,0.0003,0.10607096354166666,0.00035312087314499273,-2.1563758389403422
1469,552960,0.02635132,130.0,45,376,0.1352367401123047,-0.000783637554680657,440,0.703670859336853,0.009035713,-0.016340035945177078,0.2,0.0003,0.10630696614583333,0.000362866859169723,-2.1357346285134553
1472,565248,0.02538234,130.0,46,383,0.13718706369400024,-0.0010198136764908365,450,0.6813307404518127,0.011587213,-0.0057555679231882095,0.2,0.0003,0.11764322916666667,0.00033444252005665476,-2.0844358670214813
1476,577536,0.023827320000000003,130.0,47,391,0.16299277544021606,0.0009810420751212709,460,0.6740201115608215,0.008466919,0.011800004169344902,0.2,0.0003,0.0994140625,0.0003696692921873061,-2.055690649151802
1479,589824,0.03388775,130.0,48,398,0.16301220655441284,0.00026950263672915754,470,0.6692689657211304,0.0081631625,-0.011184252798557281,0.2,0.0003,0.10289713541666666,0.0003775922895632296,-2.029414192959666
1482,602112,0.031501430000000004,130.0,49,406,0.1417497992515564,0.0004583597309344138,480,0.6654275059700012,0.010354069,0.024619147181510925,0.2,0.0003,0.10725911458333333,0.00033863816330873914,-2.0200513464709124
1485,614400,0.030268069999999998,130.0,50,413,0.17348474264144897,0.0009889115783153102,490,0.6566415429115295,0.0077758622,0.006523071322590113,0.2,0.0003,0.09862467447916666,0.00037549892019039056,-1.9970785106842717
1478,626688,0.03846434,130.0,51,423,0.15758419036865234,0.0003125475462790443,500,0.6478570699691772,0.009838362,-0.003968559205532074,0.2,0.0003,0.11531575520833333,0.00033870626558988687,-1.9649617151046792
1482,638976,0.04405104,130.0,52,431,0.13621187210083008,-5.638231001891351e-05,510,0.6395010948181152,0.0091920225,0.01990276575088501,0.2,0.0003,0.113818359375,0.00036314675585344955,-1.9413149520133932
1484,651264,0.03538165,130.0,53,438,0.1521238088607788,5.719189260465403e-05,520,0.6371369361877441,0.0101002,-0.01629731059074402,0.2,0.0003,0.11080729166666667,0.000365347982953305,-1.9289592398330568
