rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/std,train/clip_range,train/n_updates
1.17820945,296,313344,1056,1070.0,153,0.153125,0.35129594802856445,0.0003,0.010355024598538876,-0.9356473602354527,0.001263450829355861,0.0138937235,-0.0029548186736064962,0.40049076080322266,0.2,1520
1.1949026399999998,298,315392,1057,1070.0,154,0.143408203125,0.38671159744262695,0.0003,-0.00022082345094531775,-0.9451547911390662,0.0014675546768557978,0.011840717,-0.003519907093868824,0.40321314334869385,0.2,1530
1.18874254,300,317440,1057,1070.0,155,0.154638671875,0.33471518754959106,0.0003,-0.00758153572678566,-0.9586646007373929,0.0014678780325994012,0.012892859,-0.003895125842245761,0.40535080432891846,0.2,1540
1.1953117,301,319488,1058,1070.0,156,0.15908203125,0.3737804889678955,0.0003,-0.0008514620130881667,-0.9633654903620481,0.0013339831753910402,0.013681525,-0.005035838088588207,0.4062874913215637,0.2,1550
1.19598597,303,321536,1058,1070.0,157,0.148583984375,0.361538290977478,0.0003,-0.017651570960879326,-0.9603761335834861,0.0014087124025536468,0.012984569,-0.005910325856530107,0.40464770793914795,0.2,1560
1.19533685,305,323584,1058,1070.0,158,0.1412109375,0.32231491804122925,0.0003,-0.01606685295701027,-0.9421368598937988,0.0016003545100829798,0.012598241,-0.00602347452804679,0.4008201062679291,0.2,1570
1.19724416,307,325632,1058,1070.0,159,0.1580078125,0.378379225730896,0.0003,-0.009027441963553429,-0.9197722451761365,0.0017033481237376691,0.01584206,-0.00945692083769245,0.3950794041156769,0.2,1580
1.19292759,309,327680,1058,1070.0,160,0.158154296875,0.3064371943473816,0.0003,-0.005715157371014357,-0.8912226915359497,0.001535954360042524,0.017204214,-0.0074025129593792375,0.388668954372406,0.2,1590
1.2021289899999998,311,329728,1059,1070.0,161,0.165185546875,0.34506702423095703,0.0003,-0.033741045743227005,-0.8879556057974696,0.00147890404878126,0.012177473,-0.004620020013680915,0.39195573329925537,0.2,1600
1.20348813,313,331776,1059,1070.0,162,0.163037109375,0.38736796379089355,0.0003,-0.02720450423657894,-0.881727991066873,0.0016502599532032037,0.015871532,-0.008458285579399672,0.3870052695274353,0.2,1610
1.2040266000000002,314,333824,1060,1070.0,163,0.15166015625,0.3594525456428528,0.0003,0.0008297748281620443,-0.8733824329450727,0.0018047244810077245,0.01086391,-0.005076686661050189,0.38820403814315796,0.2,1620
1.2145165100000002,316,335872,1060,1070.0,164,0.139990234375,0.33881837129592896,0.0003,-0.008840424008667469,-0.8707505207508802,0.0013132520018189098,0.0124386465,-0.005757445750350598,0.38652998208999634,0.2,1630
1.21718115,318,337920,1060,1070.0,165,0.16474609375,0.38641923666000366,0.0003,-0.015244772657752037,-0.858691168949008,0.0016886666515347315,0.012162505,-0.007538110110908746,0.38334089517593384,0.2,1640
1.2255629500000003,320,339968,1061,1070.0,166,0.15068359375,0.28693056106567383,0.0003,-0.009503304958343506,-0.8549595914781094,0.0016533989837625995,0.010087382,-0.00414439406740712,0.38436537981033325,0.2,1650
1.2360934500000003,322,342016,1061,1070.0,167,0.170263671875,0.38767313957214355,0.0003,0.016481563448905945,-0.8380314406007529,0.001455908317984722,0.017853217,-0.00417553513252642,0.3801420032978058,0.2,1660
1.23662692,323,344064,1062,1070.0,168,0.17158203125,0.39802438020706177,0.0003,-0.016836922615766525,-0.8108305996283889,0.0016441410802144675,0.012193485,-0.0041684445881401185,0.3755339980125427,0.2,1670
1.24031329,325,346112,1062,1070.0,169,0.153955078125,0.4007115364074707,0.0003,-0.0187393631786108,-0.7933802975341677,0.001936686021872447,0.013139789,-0.004649236726254458,0.3744320273399353,0.2,1680
1.2465583699999998,327,348160,1063,1070.0,170,0.15390625,0.406602144241333,0.0003,-0.01190747320652008,-0.7822413245216012,0.001684314777594409,0.013187708,-0.004515954910311848,0.37206292152404785,0.2,1690
1.25289577,329,350208,1063,1070.0,171,0.20078125,0.39215993881225586,0.0003,0.003924110438674688,-0.7578407725319266,0.0015164228138019099,0.015773479,-0.01026126250071684,0.3666956424713135,0.2,1700
1.2566472499999999,331,352256,1063,1070.0,172,0.1900390625,0.24862366914749146,0.0003,0.03308062627911568,-0.7446927396580577,0.0013403074839516194,0.023077436,-0.004467225028201937,0.36573973298072815,0.2,1710
1.26412572,332,354304,1064,1070.0,173,0.156884765625,0.3750472068786621,0.0003,-0.03195244073867798,-0.7357438106089831,0.0013922498448664556,0.014138173,-0.0027995621916488745,0.3613918423652649,0.2,1720
1.27004742,334,356352,1064,1070.0,174,0.168505859375,0.4122554063796997,0.0003,-0.022429727017879486,-0.7197702027857303,0.0015785642004630062,0.013491209,-0.007061910026823171,0.3585408329963684,0.2,1730
1.2773554100000002,336,358400,1065,1070.0,175,0.158984375,0.3748242259025574,0.0003,-0.011161495000123978,-0.7091333400458097,0.001555079898389522,0.018501688,-0.006449895731930155,0.35792261362075806,0.2,1740
1.2776761200000002,338,360448,1065,1070.0,176,0.164453125,0.3542217016220093,0.0003,-0.02163609303534031,-0.6993170453235507,0.0014332010028738295,0.013870465,-0.006224933698831592,0.35570961236953735,0.2,1750
1.28748893,339,362496,1066,1070.0,177,0.18515625,0.43943679332733154,0.0003,-0.0080568203702569,-0.681408790126443,0.0017679058395515313,0.016499037,-0.007396111359412316,0.3522638976573944,0.2,1760
1.29052928,341,364544,1066,1070.0,178,0.17041015625,0.4657388925552368,0.0003,-0.0029633038211613894,-0.6564426684752107,0.0016022033070839826,0.011710854,-0.004505463549867273,0.34716707468032837,0.2,1770
1.29452973,343,366592,1066,1070.0,179,0.17724609375,0.42647266387939453,0.0003,-0.016026750206947327,-0.6415211876854301,0.0017527131018141517,0.015925232,-0.005597156526346225,0.346956729888916,0.2,1780
1.2969650299999997,345,368640,1067,1070.0,180,0.191552734375,0.334591805934906,0.0003,-0.008770907297730446,-0.6309826798737049,0.0017081530766517971,0.01850631,-0.009202350023406325,0.34247052669525146,0.2,1790
1.30168116,347,370688,1067,1070.0,181,0.18583984375,0.4034629464149475,0.0003,-0.01615005172789097,-0.611737709864974,0.0015425841958858655,0.015485139,-0.003556051971099805,0.33973732590675354,0.2,1800
1.3061890399999998,349,372736,1067,1070.0,182,0.164306640625,0.36622536182403564,0.0003,-0.03008871152997017,-0.5996145201846957,0.0016980161126411986,0.02639139,-0.0031765151463332584,0.3370803892612457,0.2,1810
1.3122873999999998,350,374784,1068,1070.0,183,0.18310546875,0.4131091833114624,0.0003,0.01900326833128929,-0.589377549290657,0.0017236389332538238,0.015667895,-0.005743809169507586,0.33645153045654297,0.2,1820
1.3227957799999999,352,376832,1068,1070.0,184,0.155419921875,0.44013816118240356,0.0003,0.01675262488424778,-0.5874007549136877,0.0014049209439690458,0.014796728,-0.0026660195479053074,0.33783915638923645,0.2,1830
1.3289255199999999,354,378880,1068,1070.0,185,0.169189453125,0.3209573030471802,0.0003,-0.01595594733953476,-0.5788930697366595,0.0012599605097420863,0.015216429,-0.009314567698311293,0.3342415392398834,0.2,1840
1.3256646199999997,356,380928,1069,1070.0,186,0.171044921875,0.3842109441757202,0.0003,-0.00182115170173347,-0.5730822835117578,0.0015193851031654049,0.010436347,-0.0035976393453893253,0.3335053622722626,0.2,1850
1.32309683,358,382976,1069,1070.0,187,0.182666015625,0.347517728805542,0.0003,-0.021346578374505043,-0.5644830102100968,0.0014181498729158193,0.020112272,-0.0026439914741786196,0.33242130279541016,0.2,1860
1.3215085000000002,359,385024,1069,1070.0,188,0.19560546875,0.4230525493621826,0.0003,-0.023988956585526466,-0.5435116283595562,0.0015947976038660273,0.019169405,-0.004872028559475439,0.32774317264556885,0.2,1870
1.3254910599999996,361,387072,1070,1070.0,189,0.211083984375,0.4289805293083191,0.0003,0.014938252978026867,-0.5302129074931144,0.001889328823017422,0.01628445,-0.0003788292873650789,0.32725071907043457,0.2,1880
