time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/std,train/loss,train/n_updates,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
617,1523,3119104,5054,0.08839148283004761,0.0003,0.2,3.146564984321594,0.0018836982766515576,0.005721646174697526,0.316552734375,0.04991079866886139,0.03559038043022156,15220,0.063776284,0.46825781000000005,9989.0
617,1524,3121152,5057,-0.0375591516494751,0.0003,0.2,3.160193933546543,0.003234607471677009,0.0009802639485315013,0.336669921875,0.04989876225590706,0.0022333941888064146,15230,0.030825851,0.46825781000000005,9989.0
617,1525,3123200,5060,-0.04089820384979248,0.0003,0.2,3.1650793865323066,0.0029714372431044467,0.000616880212533033,0.240625,0.04968985170125961,-0.028865402564406395,15240,0.025744222,0.46825781000000005,9989.0
617,1526,3125248,5063,-0.0471649169921875,0.0003,0.2,3.1707306444644927,0.008114718939759768,0.0008251920057546158,0.31318359375,0.04966046288609505,0.10709486901760101,15250,0.042007573,0.46825781000000005,9989.0
617,1527,3127296,5065,0.026350438594818115,0.0003,0.2,3.1761625736951826,0.002191058868629625,0.000740376461590131,0.313427734375,0.04932524636387825,0.0042142667807638645,15260,0.041077845,0.4524268800000001,9989.0
617,1528,3129344,5069,0.0861959457397461,0.0003,0.2,3.204711592942476,0.005864327697781846,0.005747792472629953,0.35283203125,0.04837971180677414,-0.02846146561205387,15270,0.034259297,0.4524268800000001,9989.0
617,1529,3131392,5072,-0.03496384620666504,0.0003,0.2,3.2429279811680316,-0.0016456765224575065,0.0008217170219268155,0.273193359375,0.047684259712696075,0.0020767326932400465,15280,0.03458994,0.4524268800000001,9989.0
617,1530,3133440,5075,-0.03351879119873047,0.0003,0.2,3.2329116716980932,0.006516980579181109,0.0006106973033183749,0.287255859375,0.04855118691921234,0.005790946073830128,15290,0.030404173,0.4524268800000001,9989.0
617,1531,3135488,5078,-0.06091105937957764,0.0003,0.2,3.226333413273096,0.009991386298497672,0.0008369608000521111,0.35263671875,0.04813351854681969,0.051089055836200714,15300,0.04985659,0.4524268800000001,9989.0
617,1532,3137536,5080,0.03897494077682495,0.0003,0.2,3.2284552417695522,-0.00047731873200973496,0.0008144968776832684,0.3439453125,0.048364847898483276,0.0036502606235444546,15310,0.06090848,0.43258900000000006,9989.0
617,1533,3139584,5084,0.08624029159545898,0.0003,0.2,3.2467552594840527,0.00406851104053203,0.00576225829172472,0.308544921875,0.04738359898328781,0.024682018905878067,15320,0.034132138,0.43258900000000006,9989.0
617,1534,3141632,5087,-0.09206843376159668,0.0003,0.2,3.2696094170212744,0.004666880074728397,0.0007714662727266841,0.331298828125,0.047365475445985794,-0.02451430633664131,15330,0.031094816,0.43258900000000006,9989.0
617,1535,3143680,5091,-0.041605353355407715,0.0003,0.2,3.2668926291167737,0.016152927579241805,0.0006081961129211777,0.358349609375,0.04740134999155998,-0.004328201059252024,15340,0.0762334,0.43258900000000006,9989.0
617,1536,3145728,5093,-0.05195271968841553,0.0003,0.2,3.264530520886183,0.013739919227191422,0.0008323981995090434,0.387451171875,0.047390617430210114,0.035995107144117355,15350,0.04951275,0.43258900000000006,9989.0
617,1537,3147776,5096,0.04372352361679077,0.0003,0.2,3.256408667564392,0.004017916377779329,0.0009630264957195322,0.314892578125,0.047672517597675323,-0.013901164755225182,15360,0.040563084,0.40565409,9989.0
617,1538,3149824,5099,0.09590321779251099,0.0003,0.2,3.270730724185705,0.0036016316822497173,0.0056198627296907945,0.357861328125,0.04682896286249161,-0.0317523330450058,15370,0.055141617,0.40565409,9989.0
617,1539,3151872,5102,-0.06671774387359619,0.0003,0.2,3.292667415738106,0.009900266594195272,0.0011385965923182083,0.332373046875,0.046664342284202576,-0.025429178029298782,15380,0.054235816,0.40565409,9989.0
617,1540,3153920,5104,-0.18704664707183838,0.0003,0.2,3.2903998658061027,0.012250663455051835,0.0002722721937971073,0.310009765625,0.04697587713599205,0.04326876997947693,15390,0.06536785,0.40565409,9989.0
617,1541,3155968,5107,-0.012876510620117188,0.0003,0.2,3.28520847260952,0.015936084616259904,0.0008238552759621598,0.40283203125,0.04678712785243988,-0.05708487704396248,15400,0.09611349,0.40565409,9989.0
