time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/entropy_loss,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
708608,1103,346,642,-1.416338363662362,28.1916561126709,0.0003,59.52010999917984,0.008010721,0.08564453125,0.4898246228694916,0.2,-0.0010637049213983118,3450,-0.010697603225708008,237.4735396714286,9989.0
710656,1107,347,641,-1.4004673976451159,28.882579803466797,0.0003,46.630383151769635,0.009313186,0.105029296875,0.48506954312324524,0.2,-0.005845447797037195,3460,0.0009503960609436035,244.33153363380285,9989.0
712704,1110,348,642,-1.3835347332060337,29.229900360107422,0.0003,55.3366635799408,0.010444066,0.08408203125,0.48208388686180115,0.2,-0.0003968708435422741,3470,0.002045869827270508,244.33153363380285,9989.0
714752,1112,349,642,-1.3845268659293652,29.5875301361084,0.0003,48.59596700668335,0.009930182,0.103955078125,0.4841959476470947,0.2,3.9919634582474826e-05,3480,-0.00037360191345214844,244.33153363380285,9989.0
716800,1115,350,642,-1.3770717684179545,24.91056251525879,0.0003,49.36663048267364,0.008154823,0.1056640625,0.47995758056640625,0.2,-0.003047988109756261,3490,0.002077043056488037,244.33153363380285,9989.0
718848,1119,351,642,-1.3742988031357526,23.308568954467773,0.0003,48.59711552858353,0.009610945,0.054931640625,0.48324018716812134,0.2,-0.0030854084601742216,3500,-0.004468560218811035,244.33153363380285,9989.0
720896,1123,352,641,-1.3708649169653655,31.773176193237305,0.0003,54.35718193054199,0.008318931,0.0734375,0.4780478775501251,0.2,-0.0040793392836349085,3510,-0.0021734237670898438,246.1803857916667,9989.0
722944,1126,353,641,-1.3486259490251542,20.017091751098633,0.0003,49.056112909317015,0.010415241,0.104052734375,0.4727039337158203,0.2,-0.001861948097939603,3520,-0.007904767990112305,246.1803857916667,9989.0
724992,1129,354,641,-1.3289500303566455,31.65054702758789,0.0003,53.83536596298218,0.009521291,0.089599609375,0.4694959819316864,0.2,8.097008976619691e-05,3530,0.00030094385147094727,246.1803857916667,9989.0
727040,1133,355,641,-1.3184038739651442,33.378318786621094,0.0003,52.32386597394943,0.0064298557,0.068505859375,0.466675341129303,0.2,-0.0013366513026994652,3540,-0.0010063648223876953,246.1803857916667,9989.0
729088,1135,356,641,-1.294853699579835,27.9821834564209,0.0003,52.2383797287941,0.011002287,0.086279296875,0.460315465927124,0.2,-0.0037821834557689726,3550,-0.003504633903503418,246.1803857916667,9989.0
731136,1138,357,641,-1.2862936053425074,21.38555335998535,0.0003,48.82310695052147,0.010883706,0.104248046875,0.4616571366786957,0.2,-0.005443613004172221,3560,0.0035007596015930176,250.95121004109592,9989.0
733184,1141,358,642,-1.283211762085557,27.676292419433594,0.0003,49.764120054245,0.01577622,0.11259765625,0.45875316858291626,0.2,-0.003615929908119142,3570,-0.00802624225616455,250.95121004109592,9989.0
735232,1144,359,642,-1.275284018740058,22.267324447631836,0.0003,46.24827399253845,0.010940317,0.09365234375,0.4578496217727661,0.2,-0.0007243004467454739,3580,-0.0011708736419677734,250.95121004109592,9989.0
737280,1147,360,642,-1.2625579856336118,21.906015396118164,0.0003,40.81746296882629,0.0066143493,0.0935546875,0.45305800437927246,0.2,-0.005498775374144315,3590,-0.0023337602615356445,250.95121004109592,9989.0
739328,1150,361,642,-1.2463099110871554,21.7618408203125,0.0003,43.493381762504576,0.0069071166,0.074462890625,0.4499983787536621,0.2,-0.0025943617394659666,3600,0.002636432647705078,256.93792791891894,9989.0
741376,1153,362,642,-1.2245785895735026,26.342395782470703,0.0003,55.54745819568634,0.008609745,0.087255859375,0.44455111026763916,0.2,-0.001815863375668414,3610,0.001683056354522705,256.93792791891894,9989.0
743424,1157,363,642,-1.2098721083253623,32.42527389526367,0.0003,59.17017283439636,0.008458085,0.101904296875,0.44276440143585205,0.2,-0.002072594829951413,3620,-0.006286740303039551,256.93792791891894,9989.0
745472,1160,364,642,-1.2010500445961951,25.192659378051758,0.0003,49.68103763461113,0.008931353,0.091552734375,0.44019654393196106,0.2,-0.0026806939029484058,3630,0.0018687248229980469,256.93792791891894,9989.0
747520,1163,365,642,-1.2103578567504882,22.972225189208984,0.0003,46.83485184311867,0.01221517,0.089697265625,0.444974809885025,0.2,-0.0025620914457249455,3640,0.0011680126190185547,256.93792791891894,9989.0
749568,1166,366,642,-1.2128515478223563,21.307331085205078,0.0003,47.695308059453964,0.013310619,0.121630859375,0.44368287920951843,0.2,0.002092090924270451,3650,0.0003288388252258301,263.67594073333333,9989.0
751616,1169,367,642,-1.1999972268939019,27.29766082763672,0.0003,52.65552965402603,0.008922461,0.0962890625,0.4393899440765381,0.2,-0.007411515302374027,3660,0.0036221742630004883,263.67594073333333,9989.0
753664,1172,368,642,-1.195251826196909,19.294782638549805,0.0003,46.197502601146695,0.0069648377,0.06533203125,0.4410046637058258,0.2,-0.0019233819490182213,3670,0.001250922679901123,263.67594073333333,9989.0
755712,1175,369,642,-1.2000739056617022,21.16065216064453,0.0003,47.29184886217117,0.011148971,0.09453125,0.44309499859809875,0.2,0.001046031703299377,3680,-0.002513289451599121,263.67594073333333,9989.0
757760,1178,370,642,-1.188659568876028,24.895126342773438,0.0003,46.486925405263904,0.008344397,0.076220703125,0.43481045961380005,0.2,-0.004075453108816874,3690,-0.0021440982818603516,263.67594073333333,9989.0
759808,1181,371,643,-1.160955087840557,25.18690299987793,0.0003,45.652875089645384,0.007457138,0.07998046875,0.43148380517959595,0.2,-0.0029721513303229584,3700,-0.004251718521118164,273.21052630263165,9989.0
761856,1184,372,642,-1.1477957386523485,22.8662052154541,0.0003,40.250038254261014,0.009204781,0.08779296875,0.4294760227203369,0.2,-0.004004781681578607,3710,-0.00512242317199707,273.21052630263165,9989.0
763904,1187,373,643,-1.1418625757098197,23.865625381469727,0.0003,47.766744351387025,0.007159129,0.079541015625,0.4275645613670349,0.2,-0.00044525315024657175,3720,0.00016808509826660156,273.21052630263165,9989.0
765952,1190,374,643,-1.126036874949932,19.93503189086914,0.0003,36.83161376714706,0.011912811,0.092529296875,0.42417287826538086,0.2,0.0013006474851863458,3730,0.0006493330001831055,273.21052630263165,9989.0
768000,1193,375,643,-1.1135591477155686,22.97031593322754,0.0003,44.21463208794594,0.007295126,0.098291015625,0.4210473299026489,0.2,-0.004201501233910676,3740,0.00018918514251708984,273.21052630263165,9989.0
770048,1196,376,643,-1.0946335688233375,26.63564109802246,0.0003,51.378662168979645,0.0069155507,0.086328125,0.41576433181762695,0.2,-0.0023399934652843513,3750,-0.002504587173461914,283.26686867532476,9989.0
772096,1199,377,643,-1.0727676272392273,27.53662872314453,0.0003,48.61024035215378,0.008058621,0.102294921875,0.41255703568458557,0.2,-0.003208064247155562,3760,-0.001194596290588379,283.26686867532476,9989.0
774144,1202,378,643,-1.0599673639982938,22.004501342773438,0.0003,47.781744718551636,0.008708887,0.09375,0.41015273332595825,0.2,-0.0028088650680729186,3770,0.0051271915435791016,283.26686867532476,9989.0
776192,1205,379,643,-1.0519723363220692,22.093454360961914,0.0003,43.13644388318062,0.011646783,0.098486328125,0.4101598560810089,0.2,0.0009877690303255805,3780,-0.004314899444580078,283.26686867532476,9989.0
778240,1208,380,644,-1.0650797802954912,22.46617317199707,0.0003,44.953259152174,0.008219829,0.0755859375,0.41458985209465027,0.2,-0.004133461801393424,3790,-0.00030601024627685547,283.26686867532476,9989.0
780288,1211,381,644,-1.0647200472652911,19.72466468811035,0.0003,41.625693237781526,0.008038301,0.0939453125,0.41128242015838623,0.2,-0.006113254139199853,3800,0.0031601786613464355,289.61772791025646,9989.0
782336,1214,382,644,-1.0453303150832653,25.23967170715332,0.0003,47.58097930550575,0.011990643,0.097216796875,0.4065037667751312,0.2,0.0017615031552850268,3810,-0.002683401107788086,289.61772791025646,9989.0
784384,1216,383,644,-1.0250987607985735,20.480714797973633,0.0003,37.71319478154182,0.010824768,0.0896484375,0.40308964252471924,0.2,-0.004435183429450262,3820,-0.0019015073776245117,289.61772791025646,9989.0
786432,1219,384,644,-1.012201439589262,37.49246597290039,0.0003,58.82834514379501,0.009796546,0.112158203125,0.40062421560287476,0.2,-0.005076871952041984,3830,-0.0007036924362182617,289.61772791025646,9989.0
788480,1223,385,644,-0.9900685139000416,23.2362003326416,0.0003,42.843087589740755,0.00959222,0.092578125,0.3950006365776062,0.2,-0.004044325207360089,3840,-0.0024031400680541992,289.61772791025646,9989.0
790528,1226,386,644,-0.9655206587165595,20.410781860351562,0.0003,47.55691294670105,0.008713419,0.08828125,0.3909195065498352,0.2,-0.0046336355473613365,3850,0.0022202730178833008,296.11207453164565,9989.0
792576,1230,387,644,-0.9542248105630279,21.136417388916016,0.0003,43.628027617931366,0.012707403,0.124609375,0.3902873992919922,0.2,-0.003323757805628702,3860,-0.0027998685836791992,296.11207453164565,9989.0
