time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/approx_kl,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/std,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction
5636096,4989.0,688,6033,934,2494.51477902,0.053256974,0.013321169652044773,0.006664069615180779,0.0003,0.9946064408868551,0.1740659773349762,0.6579592440277338,6870,0.2,-0.004988134592713323,0.35458984375
5644288,4989.0,689,6042,934,2494.51692307,0.049371064,0.019641192629933357,0.00637664993028011,0.0003,0.9897650303319097,0.17448781430721283,0.6625352641567588,6880,0.2,-0.005853532917899429,0.35032958984375
5652480,4989.0,690,6050,934,2494.51156365,0.047319457,-0.02775990590453148,0.007484287770239462,0.0003,0.9937241259030998,0.17566773295402527,0.6517722663469613,6890,0.2,-0.002723704225354595,0.334033203125
5660672,4989.0,691,6059,934,2494.50545045,0.044840228,-0.012244860641658306,0.006666598152878578,0.0003,0.9924714318476617,0.17534080147743225,0.6503440736792981,6900,0.2,-0.002382273158946191,0.33455810546875
5668864,4989.0,692,6068,934,2494.51098833,0.048037942,-0.005953293293714523,0.006304651507707604,0.0003,0.993167626671493,0.17388863861560822,0.6615680142305791,6910,0.2,-0.0065921431647439025,0.34862060546875
5677056,4989.0,693,6076,934,2494.5067499600004,0.04883618,0.026447201147675514,0.007593640711820626,0.0003,0.9932528934441507,0.1734573245048523,0.665736262127757,6920,0.2,-0.005754078486643266,0.3503173828125
5685248,4989.0,694,6085,934,2494.50336998,0.050028667,-0.030041513964533806,0.00651179751384916,0.0003,0.9854160696268082,0.17423269152641296,0.6637787352316081,6930,0.2,-0.003343714509901474,0.3382080078125
5693440,4989.0,695,6094,934,2494.50399914,0.050147943,0.005268804728984833,0.006300004644253931,0.0003,0.9950065040029585,0.17453190684318542,0.6588757221587003,6940,0.2,-0.003962535062237293,0.3427001953125
5701632,4989.0,696,6103,934,2494.5024561899995,0.047118463,-0.02030199021100998,0.007419747816857125,0.0003,0.9940705923363566,0.1759650707244873,0.6468146089464426,6950,0.2,-0.006013827571587171,0.34710693359375
5709824,4989.0,697,6111,934,2494.49746722,0.05148648,-0.010320890694856644,0.005855420502848574,0.0003,0.9901167806237936,0.17594128847122192,0.6425765612162649,6960,0.2,-0.005662154797755647,0.34671630859375
5718016,4989.0,698,6120,934,2494.48625201,0.046949737,-0.02702418714761734,0.00726378666695382,0.0003,0.9954441832378507,0.17776228487491608,0.6246839777566493,6970,0.2,-0.009088587604492205,0.34312744140625
5726208,4989.0,699,6129,934,2494.48810485,0.045752637,-0.0058051543310284615,0.006427219342185708,0.0003,0.9945101859048009,0.17661212384700775,0.6266581887379289,6980,0.2,-0.004166647027159342,0.3274169921875
5734400,4989.0,700,6137,934,2494.48487604,0.050035793,-0.02665025368332863,0.006073540253419196,0.0003,0.9913958162069321,0.17566537857055664,0.6406327053904534,6990,0.2,-0.005490498177096015,0.34542236328125
5742592,4989.0,701,6146,934,2494.4788738,0.049403593,-0.003763299435377121,0.0074139937412837755,0.0003,0.9938940703868866,0.17497017979621887,0.647596510220319,7000,0.2,-0.0030778635307797233,0.3369873046875
5750784,4989.0,702,6155,934,2494.48171076,0.04918766,-0.03338412567973137,0.007464407997213129,0.0003,0.9934387323446572,0.17292848229408264,0.6667146286927164,7010,0.2,-0.005013860890176147,0.34537353515625
5758976,4989.0,703,6163,934,2494.4754981300002,0.04724127,0.007484679110348225,0.00604996749689235,0.0003,0.9917414449155331,0.1720898151397705,0.6735901001840829,7020,0.2,-0.007629593490855768,0.3404052734375
5767168,4989.0,704,6172,934,2494.47541294,0.04932131,-0.018909700214862823,0.007234053334104829,0.0003,0.9946743100881577,0.17206746339797974,0.6851668725721538,7030,0.2,-0.003920510177704273,0.355322265625
5775360,4989.0,705,6181,934,2494.4681338,0.048752848,-0.047740742564201355,0.006852265022644133,0.0003,0.9916002443060279,0.1716095209121704,0.6881061377935112,7040,0.2,-0.0034430003419402056,0.34278564453125
5783552,4989.0,706,6189,934,2494.46270465,0.046781935,-0.04978187754750252,0.006161185364908306,0.0003,0.9931765585206449,0.1718112826347351,0.6862131468020379,7050,0.2,-0.007254447742161574,0.3423095703125
5791744,4989.0,707,6198,934,2494.46596223,0.04988932,0.00041686324402689934,0.007042427636406501,0.0003,0.9955515405163169,0.17065662145614624,0.6976854830048979,7060,0.2,-0.00766710299976694,0.3453125
5799936,4989.0,708,6207,934,2494.45876396,0.059332456,-0.024318233132362366,0.006386936374656216,0.0003,0.9851237460970879,0.16849036514759064,0.7187674537301063,7070,0.2,-0.0032922562822932377,0.3638916015625
5808128,4989.0,709,6215,934,2494.4537242899996,0.05151975,-0.048608846962451935,0.0066512149057416535,0.0003,0.9944306323304772,0.1680334210395813,0.7267297538928688,7080,0.2,-0.005384787760704057,0.359716796875
5816320,4989.0,710,6224,934,2494.44903371,0.046265557,-0.026222728192806244,0.00785433350574749,0.0003,0.9941940768621862,0.16835734248161316,0.7301932164467871,7090,0.2,-0.0007646001780813094,0.3400146484375
5824512,4989.0,711,6233,934,2494.44703481,0.048233174,-0.033389657735824585,0.005357249219741789,0.0003,0.98643365688622,0.16630852222442627,0.7454764518886805,7100,0.2,-0.002795480188797228,0.34237060546875
5832704,4989.0,712,6241,934,2494.43829518,0.050329473,0.05854412540793419,0.006737747368970304,0.0003,0.9955495255999267,0.1659773290157318,0.7507820800878108,7110,0.2,-0.005745608839060878,0.34677734375
5840896,4989.0,713,6250,934,2494.4307801200002,0.050774433,-0.008031961508095264,0.007495929540891666,0.0003,0.9933062177151442,0.1646077036857605,0.7706068873405456,7120,0.2,-0.0016711658041458576,0.34874267578125
5849088,4989.0,714,6259,934,2494.43382592,0.050582238,-0.006630591116845608,0.005681263865881192,0.0003,0.9914859579876065,0.1652468591928482,0.7693178554065525,7130,0.2,-0.008627271858858875,0.3548095703125
5857280,4989.0,715,6267,934,2494.4386789100004,0.0473158,-0.029481813311576843,0.006803045688502607,0.0003,0.9960838626138866,0.16524752974510193,0.7628431634046138,7140,0.2,-0.0056268704182002695,0.34451904296875
5865472,4989.0,716,6276,934,2494.4352346500004,0.050346207,-0.0055000996217131615,0.0070713590790546735,0.0003,0.9953804048709571,0.1634058803319931,0.7829413746483624,7150,0.2,-0.004531101816974114,0.360888671875
5873664,4989.0,717,6285,934,2494.4300025300004,0.053329892,0.007014455273747444,0.005923135587909201,0.0003,0.987875453196466,0.16390538215637207,0.7801578903570772,7160,0.2,-0.0049300502469122875,0.3589111328125
5881856,4989.0,718,6293,934,2494.43246871,0.04831752,-0.009162301197648048,0.006652287428278214,0.0003,0.9954315829090774,0.16369086503982544,0.7830010569654405,7170,0.2,-0.004221383647745824,0.3478515625
5890048,4989.0,719,6302,934,2494.4319314,0.046672348,-0.0060875131748616695,0.00647040571038815,0.0003,0.9941379288211465,0.16484993696212769,0.7747208996675908,7180,0.2,-0.003717231992050074,0.342724609375
5898240,4989.0,720,6310,934,2494.4245137599996,0.047069658,-0.026213468983769417,0.006401701074901211,0.0003,0.9947293656878173,0.1639382541179657,0.7767476335167884,7190,0.2,-0.005965446209302172,0.34161376953125
5906432,4989.0,721,6319,934,2494.4224577500004,0.05449909,-0.033492013812065125,0.006676932698428573,0.0003,0.9951772764325142,0.16350865364074707,0.7856037141755223,7200,0.2,-0.0037415187056467404,0.35557861328125
5914624,4989.0,722,6328,934,2494.41805667,0.04920422,-0.028742510825395584,0.0051536313349970445,0.0003,0.9928764370270073,0.16294054687023163,0.7888866516761481,7210,0.2,-0.0036055777771252908,0.3512939453125
5922816,4989.0,723,6336,934,2494.42261242,0.050044633,0.022664733231067657,0.006062659006965987,0.0003,0.995080478489399,0.16064560413360596,0.8119102240540087,7220,0.2,-0.005608634038071614,0.3575439453125
5931008,4989.0,724,6345,934,2494.42161717,0.05835153,0.03506271168589592,0.008106578770457418,0.0003,0.9808390866965055,0.1642378270626068,0.7891928909346462,7230,0.2,0.004409962479985552,0.35565185546875
5939200,4989.0,725,6354,934,2494.42185639,0.052726448,-0.002612391486763954,0.00528371413674904,0.0003,0.9849070105701685,0.16331642866134644,0.7813844316639006,7240,0.2,-0.00465388982083823,0.35626220703125
5947392,4989.0,726,6362,934,2494.42198004,0.04980938,0.08736469596624374,0.006703360642313782,0.0003,0.9947199989110231,0.1616811901330948,0.7955468598753214,7250,0.2,-0.005665724593200139,0.3550537109375
5955584,4989.0,727,6371,934,2494.4216490300005,0.049231526,0.04341820999979973,0.006616213987035735,0.0003,0.9949294552206993,0.16150087118148804,0.805887111928314,7260,0.2,-0.0038883207314938774,0.34620361328125
5963776,4989.0,728,6379,934,2494.4202508400003,0.057781044,0.00509263202548027,0.005515733899665065,0.0003,0.9917289214208722,0.16157984733581543,0.806991885136813,7270,0.2,-0.005977795708895428,0.35999755859375
5971968,4989.0,729,6388,934,2494.4213508800003,0.05284794,-0.02935042791068554,0.006241923619018053,0.0003,0.9955171942710876,0.1622225046157837,0.7979784712195397,7280,0.2,-0.0033288052280113336,0.3641845703125
5980160,4989.0,730,6397,934,2494.42062227,0.04910528,-0.015446767210960388,0.006474907907158922,0.0003,0.9953435971401632,0.16255298256874084,0.7968465055339038,7290,0.2,-0.0038500029368151445,0.360888671875
5988352,4989.0,731,6405,934,2494.42623182,0.04945729,-0.007787325885146856,0.006366057582454232,0.0003,0.9903898034244776,0.1627310961484909,0.785148806590587,7300,0.2,-0.005247449881790089,0.352490234375
5996544,4989.0,732,6414,934,2494.42564441,0.05012195,-0.03984016180038452,0.005917719436547486,0.0003,0.9953320608474314,0.1634138822555542,0.7851123716682196,7310,0.2,-0.004399996339998324,0.34400634765625
6004736,4989.0,733,6423,934,2494.4267501199997,0.049463585,-0.06410086154937744,0.006162674458391848,0.0003,0.9932302408851683,0.1629970371723175,0.7838845320045948,7320,0.2,-0.003960824487148784,0.34764404296875
6012928,4989.0,734,6431,934,2494.4390794999995,0.052992843,0.00619491096585989,0.006149527695015422,0.0003,0.9949485720135272,0.16245165467262268,0.7908929456956685,7330,0.2,-0.006222036783583462,0.34951171875
6021120,4989.0,735,6440,934,2494.44057281,0.052290358,-0.019572556018829346,0.0062143660687070225,0.0003,0.9946779566816986,0.16329044103622437,0.7890943432226777,7340,0.2,-0.0015258642204571515,0.3542724609375
6029312,4989.0,736,6449,934,2494.4536007700003,0.0584766,-0.025998909026384354,0.0061009709630525325,0.0003,0.9919276218861341,0.16113367676734924,0.8033451694063842,7350,0.2,-0.006130079841750557,0.36654052734375
6037504,4989.0,737,6457,934,2494.45682019,0.04814052,-0.05411570891737938,0.005670536784327851,0.0003,0.9956550560891628,0.1604386270046234,0.8219140455126762,7360,0.2,-0.004096587172534782,0.34732666015625
6045696,4989.0,738,6466,934,2494.45951008,0.056158543,-0.05089389160275459,0.0064852636443902155,0.0003,0.9953318107873201,0.1593506932258606,0.8317545007914304,7370,0.2,-0.004569024270313094,0.36087646484375
6053888,4989.0,739,6475,934,2494.4626359000004,0.053190902,-0.0021029890049248934,0.00545967618800205,0.0003,0.9927072487771511,0.1591121405363083,0.8364049619063735,7380,0.2,-0.004256775185422157,0.35562744140625
6062080,4989.0,740,6483,934,2494.4623704,0.058995567,-0.05008615553379059,0.006553160005387327,0.0003,0.9949977495707572,0.15913768112659454,0.8376063766889275,7390,0.2,-0.007930267915799049,0.3599853515625
6070272,4989.0,741,6492,934,2494.4671257799996,0.055516668,-0.022592823952436447,0.0066233238832865025,0.0003,0.9950920497067273,0.159882053732872,0.8318536834791302,7400,0.2,-0.0022447354218456893,0.3694091796875
6078464,4989.0,742,6501,934,2494.46972111,0.05271779,-0.034302376210689545,0.0051210195863859555,0.0003,0.992534501478076,0.16154402494430542,0.815274388063699,7410,0.2,-0.005154211971239419,0.36082763671875
6086656,4989.0,743,6509,934,2494.4759567499996,0.05743533,0.009907661937177181,0.006401726011881692,0.0003,0.9956894787028432,0.16069528460502625,0.8190356220118702,7420,0.2,-0.0038907668655156157,0.365869140625
6094848,4989.0,744,6518,935,2494.4822551199995,0.055376478,0.035021938383579254,0.0070099435697557055,0.0003,0.993582974653691,0.16132956743240356,0.815526218432933,7430,0.2,-0.0029486021034244914,0.367236328125
6103040,4989.0,745,6527,935,2494.48444832,0.04804668,-0.01517339888960123,0.004640997013029846,0.0003,0.9927885546348989,0.1605815887451172,0.8164768319576978,7440,0.2,-0.003960771604033653,0.34581298828125
6111232,4989.0,746,6535,935,2494.4864644199997,0.05978916,0.012251799926161766,0.006675108332638046,0.0003,0.9945702240802348,0.15993133187294006,0.8256030566990376,7450,0.2,-0.0013607860426418483,0.3728515625
6119424,4989.0,747,6544,935,2494.4877209,0.053797543,-0.036851271986961365,0.006623758744899533,0.0003,0.9923627874813974,0.16053393483161926,0.8235277088358999,7460,0.2,-0.0025691102440760006,0.3502197265625
6127616,4989.0,748,6553,935,2494.4895984699997,0.052083164,-0.0021213132422417402,0.005290111900194461,0.0003,0.9962217651773244,0.15959903597831726,0.8342156013473868,7470,0.2,-0.004716326893321821,0.35589599609375
6135808,4989.0,749,6561,935,2494.48793833,0.04925196,-0.005285291932523251,0.006725151284626918,0.0003,0.991566059179604,0.16203062236309052,0.8095097165554762,7480,0.2,0.0033730949431628686,0.36263427734375
6144000,4989.0,750,6570,935,2494.48859293,0.054367326,0.022013215348124504,0.005492039531873161,0.0003,0.9898253632709384,0.1620369255542755,0.8074771429412066,7490,0.2,-0.004883238974070991,0.3524169921875
6152192,4989.0,751,6578,935,2494.48883815,0.056298375,0.0003282178658992052,0.0063580153520888414,0.0003,0.9941765805706382,0.16340605914592743,0.7916437431238592,7500,0.2,-0.005026635455578798,0.369384765625
6160384,4989.0,752,6587,935,2494.4884209600004,0.05201328,0.02970353327691555,0.005772498388432723,0.0003,0.9945097775198519,0.16339141130447388,0.7895242787897587,7510,0.2,-0.0023280069162865402,0.35587158203125
6168576,4989.0,753,6596,935,2494.48202323,0.054689854,-0.02403498999774456,0.005054825956540299,0.0003,0.9926260011270642,0.16287833452224731,0.7930302214808762,7520,0.2,-0.004677927133889171,0.365283203125
6176768,4989.0,754,6604,935,2494.48973846,0.05731204,0.0022723707370460033,0.006750603954969847,0.0003,0.9947791355662048,0.16112637519836426,0.8034303806722164,7530,0.2,-0.00704133589824778,0.3638916015625
6184960,4989.0,755,6613,935,2494.48998558,0.050815362,0.017354575917124748,0.006189741198704723,0.0003,0.9911760427057743,0.1624932736158371,0.7990372071973979,7540,0.2,0.002263072819914669,0.3564697265625
6193152,4989.0,756,6622,935,2494.4799077,0.0568797,-0.01626945286989212,0.005487285878825787,0.0003,0.9918083045631647,0.16240164637565613,0.8033006318844855,7550,0.2,-0.0077149551721959145,0.361083984375
6201344,4989.0,757,6631,935,2494.47847834,0.054343544,0.05599456652998924,0.005750493424238811,0.0003,0.9964554600883275,0.16186192631721497,0.8047423555515707,7560,0.2,-0.0025302800415374803,0.35616455078125
6209536,4989.0,758,6639,935,2494.4810777899997,0.05003552,-0.017457660287618637,0.006480679533342482,0.0003,0.9945965926162899,0.1615810990333557,0.8067577007226646,7570,0.2,-0.003753546621010173,0.36475830078125
6217728,4989.0,759,6648,935,2494.4836106299995,0.053345446,-0.01602971740067005,0.00477176221602349,0.0003,0.9913776945322752,0.16071872413158417,0.8174349490553141,7580,0.2,-0.005658473155926913,0.36173095703125
6225920,4989.0,760,6657,935,2494.48441494,0.050121605,0.008887529373168945,0.006378629833488958,0.0003,0.9941259766928852,0.16115599870681763,0.8157330002635718,7590,0.2,-0.0029493716301658424,0.35379638671875
6234112,4989.0,761,6665,935,2494.47771328,0.04954862,-0.040241580456495285,0.005583516661863542,0.0003,0.9918258190155029,0.16057124733924866,0.8202675951644778,7600,0.2,-0.003609276515635429,0.35367431640625
6242304,4989.0,762,6674,935,2494.47420325,0.051453717,0.0070512862876057625,0.0058957524303878016,0.0003,0.9963564202189445,0.16254398226737976,0.8057155989110469,7610,0.2,-0.005212761461734772,0.353759765625
6250496,4989.0,763,6683,935,2494.4744066199996,0.056307606,0.00691558001562953,0.006054573146684561,0.0003,0.9958246266469359,0.16100144386291504,0.8124508693814277,7620,0.2,-0.0021045331988716496,0.36549072265625
6258688,4989.0,764,6691,935,2494.47638431,0.051809013,0.004837783053517342,0.005094225583616207,0.0003,0.993687005713582,0.16259123384952545,0.8009164665825665,7630,0.2,-0.0057567178831959605,0.35216064453125
6266880,4989.0,765,6700,935,2494.47884858,0.053374793,-0.08365359157323837,0.00663043423619456,0.0003,0.9955656393431127,0.16100025177001953,0.8078420731239021,7640,0.2,-0.006480158662452595,0.360888671875
6275072,4989.0,766,6709,935,2494.4730677499997,0.058314174,0.04379873350262642,0.005331435144944408,0.0003,0.9960757959634066,0.1618402600288391,0.8122855748049915,7650,0.2,-0.00200996330822818,0.35523681640625
6283264,4989.0,767,6717,935,2494.47314659,0.056936603,0.017435461282730103,0.005630018517240387,0.0003,0.9909556582570076,0.16188561916351318,0.8064000190235674,7660,0.2,-0.00404407035020995,0.3599609375
6291456,4989.0,768,6726,935,2494.47050345,0.051146556,-0.04252363741397858,0.006305323839751509,0.0003,0.9951202990487218,0.16378077864646912,0.7851655069738627,7670,0.2,-0.003209821632117382,0.3522216796875
6299648,4989.0,769,6735,935,2494.4734023200003,0.052217916,-2.1065352484583855e-05,0.0051761887111752,0.0003,0.9949824856594205,0.1634952425956726,0.78089485373348,7680,0.2,-0.0031186378393613266,0.35662841796875
