,direction,risk
153,-1.0,0.8230927
154,-1.0,0.0
155,-0.51546365,0.0
156,0.55033106,0.8575446
157,-0.58570105,1.0
158,0.6240697,0.0
159,0.55033106,0.8575446
160,-1.0,1.0
161,-1.0,1.0
162,-0.5413988,0.098724335
163,0.8283108,0.0
164,-0.08980555,0.6808142
165,-1.0,1.0
166,-1.0,1.0
167,0.21718727,0.0
168,0.56092834,1.0
169,-0.061420538,0.8704348
170,0.041298408,0.51541096
171,-0.60101575,0.6823865
172,1.0,0.06502183
173,-0.2901971,0.19038387
174,-1.0,0.8153635
175,-0.18146625,0.5739711
176,-0.33263177,1.0
177,-0.45550287,0.6926965
178,0.52419734,0.0
179,0.55033106,0.8575446
180,-0.18146625,0.5739711
181,0.48465124,1.0
182,-0.038553126,0.30938295
183,0.11635466,0.0
184,0.6240697,0.0
185,-1.0,1.0
186,-0.18146625,0.5739711
187,0.55033106,0.8575446
188,0.55033106,0.8575446
189,-0.5842514,0.7516747
190,1.0,0.24320231
191,0.060795333,0.57772225
192,-0.15025261,1.0
193,0.11635466,0.0
194,0.7796525,0.6995529
195,-1.0,1.0
196,-0.25776803,0.0
197,-0.44148126,0.0
198,-1.0,0.57313854
199,-0.09304024,0.0
200,-1.0,1.0
201,-0.18146625,0.5739711
202,-0.18146625,0.5739711
203,0.55033106,0.8575446
204,0.55033106,0.8575446
205,-0.33263177,1.0
206,-0.33263177,1.0
207,0.11635466,0.0
208,0.11635466,0.0
209,0.60932076,1.0
210,-0.26522973,0.3565265
211,-1.0,1.0
212,0.6186336,0.0
213,-0.2901971,0.19038387
214,-0.24595852,0.0
215,-1.0,0.9742791
216,-1.0,1.0
217,0.019705243,0.0
218,-0.11066451,0.0
219,0.6240697,0.0
220,-1.0,1.0
221,0.48465124,1.0
222,-0.18146625,0.5739711
223,1.0,0.0
224,-0.18146625,0.5739711
225,0.50226647,0.02976742
226,0.50226647,0.02976742
227,-1.0,0.8230927
228,0.21909979,0.96237975
229,1.0,0.0
230,0.55033106,0.8575446
231,-0.9466023,1.0
232,0.6273737,0.7066402
233,-0.52121896,1.0
234,-1.0,1.0
235,1.0,0.0
236,0.13511598,0.26579475
237,1.0,0.9008505
238,0.82632595,1.0
239,-0.85376996,1.0
240,0.6186336,0.0
241,-0.2949661,0.9093572
242,1.0,0.0
243,0.5601345,0.0
244,0.17685421,0.8354455
245,-0.43371236,1.0
246,0.6468367,0.20645313
247,0.32060805,1.0
248,-1.0,1.0
249,-0.29944128,0.0
250,-0.2901971,0.19038387
251,-0.09060197,0.0
252,0.62979627,0.7790031
253,0.095418796,1.0
254,0.039343406,0.8718024
255,-0.768062,0.9795092
256,-0.68109626,0.0
257,0.6240697,0.0
258,-0.18146625,0.5739711
259,-0.33263177,1.0
260,-1.0,1.0
261,0.11635466,0.0
262,0.55895275,0.11919893
263,0.7811747,0.45980957
264,-0.6362352,0.0
265,0.056532234,1.0
266,-0.53351796,1.0
267,-1.0,0.62359667
268,1.0,0.0
269,-1.0,1.0
270,0.98984146,1.0
271,-0.45521346,0.80574936
272,-0.5786554,1.0
273,1.0,0.09381287
274,-0.2949661,0.9093572
275,-1.0,0.8145983
276,0.6240697,0.0
277,-1.0,1.0
278,-0.63125783,0.4621611
279,-0.18146625,0.5739711
280,0.55033106,0.8575446
281,0.55033106,0.8575446
282,-0.18146625,0.5739711
283,0.18547207,0.0
284,1.0,0.11297795
285,-0.35888848,1.0
286,0.3549393,0.0
287,0.52419734,0.0
288,0.052615605,0.428104
289,-1.0,1.0
290,-1.0,0.19263837
291,0.55033106,0.8575446
292,0.5865966,0.0
293,0.87736535,1.0
294,0.64729697,0.71033615
295,-0.93589646,1.0
296,-0.15025261,1.0
297,-1.0,0.5122548
298,-0.18162926,0.32220882
299,-0.6711191,1.0
300,-0.3045245,1.0
301,-0.36177808,0.8131346
302,0.43311453,0.0
303,0.16606896,0.0
304,-1.0,1.0
305,0.79373145,1.0
306,0.02373363,1.0
307,-0.16530238,1.0
308,1.0,0.44889796
309,0.05725301,0.7621628
310,-1.0,1.0
311,-1.0,1.0
312,-1.0,0.76972955
313,0.11635466,0.0
314,-0.18146625,0.5739711
315,-1.0,0.6897269
316,-0.18146625,0.5739711
317,0.039343406,0.8718024
318,0.8593815,0.0
319,-0.25518885,1.0
320,0.50226647,0.02976742
321,-0.2901971,0.19038387
322,-1.0,0.8230927
323,0.11635466,0.0
324,-0.18146625,0.5739711
325,-0.18146625,0.5739711
326,-0.18146625,0.5739711
327,0.55033106,0.8575446
328,-0.5842514,0.7516747
329,0.016016288,1.0
330,1.0,0.3336449
331,0.82632595,1.0
332,-0.12443885,0.20759319
333,-0.3029695,0.39365235
334,-0.2901971,0.19038387
335,-1.0,0.77727604
336,0.6240697,0.0
337,-0.18146625,0.5739711
338,-0.18146625,0.5739711
339,-0.33263177,1.0
340,0.6240697,0.0
341,-0.45550287,0.6926965
342,0.6240697,0.0
343,-0.18146625,0.5739711
344,-0.18146625,0.5739711
345,0.48465124,1.0
346,0.76443976,0.0
347,1.0,0.739813
348,-0.2864756,1.0
349,-0.52830094,0.0
350,0.6240697,0.0
351,-1.0,1.0
352,-1.0,0.0
353,-0.33263177,1.0
354,-0.18146625,0.5739711
355,0.50226647,0.02976742
356,0.6240697,0.0
357,0.11635466,0.0
358,0.6240697,0.0
359,-0.18146625,0.5739711
360,-0.45550287,0.6926965
361,0.55033106,0.8575446
362,-0.18146625,0.5739711
363,-0.18146625,0.5739711
364,0.50226647,0.02976742
365,-0.45550287,0.6926965
366,0.6240697,0.0
367,0.25061262,1.0
368,-0.2901971,0.19038387
