time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/n_updates,train/std
2252,1213,2484224,1102,1071.0,2.5165526999999996,0.035119772,0.0003,1.6102399483323098,-0.0016685072041582316,0.28229260444641113,0.002215870315740176,0.356103515625,0.008773348294198513,0.2,12120,0.10817678272724152
2254,1214,2486272,1102,1071.0,2.51705399,0.0467019,0.0003,1.6077848628163338,0.0023670997165027075,0.28275418281555176,0.002130564069011598,0.349462890625,0.008396068587899208,0.2,12130,0.10803371667861938
2256,1215,2488320,1102,1071.0,2.5154876199999996,0.060023226,0.0003,1.610288878157735,0.0035595431516412647,0.2631555199623108,0.0019842092457110993,0.337646484375,0.07258296757936478,0.2,12140,0.10813571512699127
2258,1216,2490368,1102,1071.0,2.5194077699999995,0.047285717,0.0003,1.6129269879311323,0.003531389210547786,0.27237188816070557,0.002249046188990178,0.33828125,0.040835000574588776,0.2,12150,0.10780876874923706
2259,1217,2492416,1102,1071.0,2.5271568399999995,0.04285434,0.0003,1.6110467337071896,0.0027431839247583413,0.27968740463256836,0.002141133414443175,0.36728515625,0.023071158677339554,0.2,12160,0.10834798216819763
2261,1218,2494464,1102,1071.0,2.5289930299999996,0.047903396,0.0003,1.5988354284316302,0.0021857297397218645,0.2688148021697998,0.002029021445923718,0.322216796875,-0.006851389072835445,0.2,12170,0.10906383395195007
2263,1219,2496512,1102,1071.0,2.53904505,0.07624644,0.0003,1.5985776256769895,0.0008012627193238586,0.27253156900405884,0.0021543363358432544,0.38544921875,-0.022750817239284515,0.2,12180,0.10837019979953766
2265,1220,2498560,1102,1071.0,2.53823904,0.057559438,0.0003,1.583245938271284,0.0012151059043389977,0.24551624059677124,0.0018646193953827605,0.359130859375,0.04092980921268463,0.2,12190,0.11064445972442627
2267,1221,2500608,1103,1071.0,2.5405713,0.046201624,0.0003,1.5545921996235847,-0.005994402897340478,0.28977030515670776,0.0017395017597664265,0.357861328125,-0.01687483862042427,0.2,12200,0.11164170503616333
2268,1222,2502656,1103,1071.0,2.53948916,0.039582193,0.0003,1.5497584152966737,0.0034881403218605554,0.29112327098846436,0.0020820594907490888,0.3701171875,0.07329907268285751,0.2,12210,0.11144769191741943
2270,1223,2504704,1103,1071.0,2.54230495,0.03768521,0.0003,1.5583380408585072,-0.001588324953627307,0.2750314474105835,0.0021885494054004083,0.33359375,-0.036385003477334976,0.2,12220,0.11072590202093124
2272,1224,2506752,1103,1071.0,2.54551222,0.041138534,0.0003,1.5591665931046008,0.0022167465664097107,0.2808876037597656,0.002115251022223674,0.366455078125,0.04985581710934639,0.2,12230,0.11133010685443878
2274,1225,2508800,1103,1071.0,2.54815119,0.04208743,0.0003,1.5488170340657235,-0.0002207954865298234,0.2848079204559326,0.0022021194692570132,0.346435546875,0.003280369797721505,0.2,12240,0.11199583858251572
2276,1226,2510848,1103,1071.0,2.5483691100000003,0.03958478,0.0003,1.5329360514879227,0.0023404418301652186,0.2622705101966858,0.002370288777456153,0.36572265625,-0.025405915454030037,0.2,12250,0.11279143393039703
2277,1227,2512896,1103,1071.0,2.5498210300000004,0.04554856,0.0003,1.5311621621251106,0.002845537989924196,0.28863662481307983,0.0021039737732280626,0.3826171875,-0.008925914764404297,0.2,12260,0.11255374550819397
2280,1228,2514944,1102,1071.0,2.54684991,0.05550036,0.0003,1.543705405294895,7.967224373714999e-05,0.2820431590080261,0.002110151636043156,0.32939453125,2.3930217139422894e-05,0.2,12270,0.1116599515080452
2281,1229,2516992,1102,1071.0,2.54916313,0.0375103,0.0003,1.5583541572093964,0.0007004627128480934,0.27045369148254395,0.002248387356303283,0.333203125,0.010702117346227169,0.2,12280,0.11106610298156738
2283,1230,2519040,1102,1071.0,2.55025575,0.03829566,0.0003,1.5715062938630582,-0.0003040156268980354,0.27279388904571533,0.002302219422563212,0.30927734375,-0.028996944427490234,0.2,12290,0.1101946160197258
2285,1231,2521088,1102,1071.0,2.55224933,0.047379836,0.0003,1.5845808215439319,0.006028766993404133,0.2624182105064392,0.0022070390306907937,0.35078125,0.045254144817590714,0.2,12300,0.10948914289474487
