time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/clip_fraction,train/std,train/loss,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
643,694272,339,1078,0.0010933242623650586,-1.5498613730072974,3380,0.001193702220916748,0.2,0.085088745,0.23779296875,0.5266822576522827,0.002411171328276396,0.0003,0.019149971519073005,9989.0,0.5327512898550724
643,696320,340,1081,0.0011330861734677455,-1.538757051900029,3390,-0.009016871452331543,0.2,0.042145222,0.22822265625,0.5201875567436218,0.00687533849850297,0.0003,0.008190317756088916,9989.0,0.5327512898550724
643,698368,341,1084,0.0012936890369019238,-1.5325951773673296,3400,-0.025602221488952637,0.2,0.04030659,0.185986328125,0.5233113765716553,-0.013160796836018562,0.0003,0.001740700019581709,9989.0,0.5327512898550724
643,700416,342,1087,0.0026068553972436346,-1.5329306837171317,3410,-0.01307213306427002,0.2,0.03646659,0.160009765625,0.5205659866333008,0.029677771031856537,0.0003,0.0005701244357624091,9989.0,0.5434997999999999
644,702464,343,1090,0.000902375981786463,-1.5262176252901554,3420,-0.023548126220703125,0.2,0.03281629,0.177099609375,0.5195854902267456,-0.016530664637684822,0.0003,0.0017771673214156181,9989.0,0.5434997999999999
644,704512,344,1093,0.001237920184030372,-1.5131281524896623,3430,-0.00037157535552978516,0.2,0.06786328,0.206005859375,0.5141322612762451,-0.0015607920940965414,0.0003,0.0065203787729842585,9989.0,0.5434997999999999
644,706560,345,1096,0.0012659133897614083,-1.5141424253582954,3440,-0.010067343711853027,0.2,0.036026254,0.1880859375,0.5190901160240173,-0.0065075792372226715,0.0003,0.009881547815166414,9989.0,0.5434997999999999
644,708608,346,1099,0.00238246053486364,-1.51191823258996,3450,0.0003974437713623047,0.2,0.031244325,0.1412109375,0.513654351234436,-0.0035473802126944065,0.0003,-0.00023320317268371582,9989.0,0.5434997999999999
644,710656,347,1102,0.001546871362006641,-1.49304524846375,3460,-0.008150458335876465,0.2,0.01768494,0.1240234375,0.5089340806007385,-0.00336461397819221,0.0003,-0.0022782189014833422,9989.0,0.5329157746478873
644,712704,348,1106,0.0009957493040928967,-1.4734568897634746,3470,-0.04820752143859863,0.2,0.03366124,0.169970703125,0.503960371017456,-0.005471998360008001,0.0003,0.004944509360211668,9989.0,0.5329157746478873
644,714752,349,1109,0.0012765578670951073,-1.4606181062757968,3480,-0.009616374969482422,0.2,0.023833182,0.151806640625,0.5021852254867554,0.018905380740761757,0.0003,0.004868781931872945,9989.0,0.5329157746478873
644,716800,350,1112,0.0007825279314602085,-1.4554317984730005,3490,-0.011384010314941406,0.2,0.030758109,0.222509765625,0.5017815828323364,-0.03279527649283409,0.0003,0.008068491298763547,9989.0,0.5329157746478873
644,718848,351,1115,0.0018028513353783638,-1.4510287754237652,3500,-0.0005888938903808594,0.2,0.051495098,0.18828125,0.5008938312530518,0.02277461066842079,0.0003,0.012047875512507744,9989.0,0.5329157746478873
644,720896,352,1118,0.0013291359595314135,-1.4394082725048065,3510,-0.02749001979827881,0.2,0.036251985,0.174365234375,0.4953104853630066,-0.032636307179927826,0.0003,0.0008846461845678277,9989.0,0.53375175
644,722944,353,1122,0.0011079285533924122,-1.4280879013240337,3520,-0.004494190216064453,0.2,0.084221154,0.187255859375,0.49476805329322815,0.029061155393719673,0.0003,0.02039311352855293,9989.0,0.53375175
644,724992,354,1125,0.0016483661294842023,-1.4251329090446234,3530,0.00422513484954834,0.2,0.09651287,0.19560546875,0.4937436878681183,-0.014983152970671654,0.0003,0.008208753455255647,9989.0,0.53375175
644,727040,355,1128,0.0007040881119792175,-1.4035712637007236,3540,-0.041481852531433105,0.2,0.03637639,0.195068359375,0.48368215560913086,-0.03351352736353874,0.0003,0.0006617385137360543,9989.0,0.53375175
644,729088,356,1131,0.0027665081579471007,-1.3815832059830426,3550,-0.004502773284912109,0.2,0.025287405,0.152685546875,0.4829365909099579,-0.03633677586913109,0.0003,0.00024088147329166533,9989.0,0.53375175
644,731136,357,1134,0.0012040896648613853,-1.3883435200899839,3560,-0.043736934661865234,0.2,0.03595928,0.16591796875,0.4862549304962158,-0.0073212734423577785,0.0003,0.004705139757425059,9989.0,0.54378301369863
644,733184,358,1138,0.0010459004628501135,-1.3937428172677755,3570,0.017773032188415527,0.2,0.038326487,0.18056640625,0.4862886071205139,-0.011046062223613262,0.0003,0.015046700707898708,9989.0,0.54378301369863
644,735232,359,1141,0.0013814853082294576,-1.3904089357703924,3580,0.0010288357734680176,0.2,0.03880112,0.154296875,0.48437178134918213,0.0043807970359921455,0.0003,0.0080091878931853,9989.0,0.54378301369863
644,737280,360,1144,0.0008351384071829671,-1.3825427539646626,3590,-0.02893233299255371,0.2,0.04667045,0.18515625,0.4826899766921997,0.008631844073534012,0.0003,0.0009282993414672092,9989.0,0.54378301369863
644,739328,361,1147,0.0017350906920910348,-1.3768606409430504,3600,-0.004712820053100586,0.2,0.045040198,0.169580078125,0.4821923077106476,0.017851360142230988,0.0003,0.010021841680281796,9989.0,0.5571944999999999
644,741376,362,1150,0.000756031743458152,-1.3672905493527652,3610,-0.09147417545318604,0.2,0.018717814,0.1291015625,0.4776487350463867,-0.02654959447681904,0.0003,-0.0017304391891229897,9989.0,0.5571944999999999
644,743424,363,1153,0.0009246886799701315,-1.3478942409157753,3620,-0.011758208274841309,0.2,0.0673561,0.1853515625,0.47154730558395386,-0.009317146614193916,0.0003,0.01528829893504735,9989.0,0.5571944999999999
644,745472,364,1156,0.0016381148358050267,-1.3240118049085141,3630,-0.015652060508728027,0.2,0.05744325,0.196240234375,0.4680280089378357,-0.012862615287303925,0.0003,0.012990215054014698,9989.0,0.5571944999999999
644,747520,365,1160,0.0009077102634364564,-1.300476434081793,3640,-0.005709171295166016,0.2,0.019100595,0.162939453125,0.4601765275001526,-0.037754300981760025,0.0003,-0.002022399193083402,9989.0,0.5571944999999999
644,749568,366,1163,0.002162859133386519,-1.279961498081684,3650,-0.004080533981323242,0.2,0.031509798,0.13916015625,0.4585422873497009,0.00330552295781672,0.0003,0.0008138643956044689,9989.0,0.5782625199999999
644,751616,367,1166,0.00091056018773088,-1.2804147604852916,3660,-0.025412559509277344,0.2,0.08779742,0.2091796875,0.46040457487106323,0.022525057196617126,0.0003,0.006509847161942162,9989.0,0.5782625199999999
644,753664,368,1169,0.0011341093355440534,-1.2785405676811934,3670,0.005520284175872803,0.2,0.03491521,0.135400390625,0.4584916830062866,-0.0017084656283259392,0.0003,0.002896493658045074,9989.0,0.5782625199999999
644,755712,369,1172,0.0009826533570958418,-1.2761503495275974,3680,-0.02296924591064453,0.2,0.05162655,0.1716796875,0.458906352519989,-0.0016552528832107782,0.0003,0.008512365909700748,9989.0,0.5782625199999999
644,757760,370,1175,0.0007132944062504976,-1.2713421024382114,3690,-0.02399897575378418,0.2,0.032448195,0.144189453125,0.45577335357666016,-0.0014555532252416015,0.0003,0.002936736070114421,9989.0,0.5782625199999999
644,759808,371,1178,0.002699186185418512,-1.260302859917283,3700,0.0024532079696655273,0.2,0.05352829,0.191943359375,0.4540156126022339,0.027328822761774063,0.0003,0.013320646002102875,9989.0,0.5883066315789472
644,761856,372,1181,0.0010924397507551475,-1.2551241010427474,3710,-0.05452287197113037,0.2,0.019244997,0.15400390625,0.45263177156448364,-0.03158486261963844,0.0003,-0.0021640734776156023,9989.0,0.5883066315789472
644,763904,373,1184,0.0012075848117092391,-1.2410473577678203,3720,-0.001785874366760254,0.2,0.15295064,0.171826171875,0.44932109117507935,-0.0177804883569479,0.0003,0.016282849716662894,9989.0,0.5883066315789472
644,765952,374,1188,0.001788812340782897,-1.243747291713953,3730,-0.0253218412399292,0.2,0.060864843,0.121533203125,0.45213592052459717,-0.011705176904797554,0.0003,0.004383197081915568,9989.0,0.5883066315789472
644,768000,375,1191,0.0008353192452887015,-1.249196893721819,3740,-0.04062807559967041,0.2,0.046434473,0.152783203125,0.45309925079345703,0.030169561505317688,0.0003,0.0012728605943266302,9989.0,0.5883066315789472
644,770048,376,1194,0.0021730164360633355,-1.2382679376751184,3750,-0.006890058517456055,0.2,0.047236834,0.177197265625,0.4473848342895508,0.05322606861591339,0.0003,0.002870309742866084,9989.0,0.6320116103896103
644,772096,377,1197,0.0009588447010173695,-1.208389101549983,3760,-0.02493762969970703,0.2,0.12998557,0.169775390625,0.4403344988822937,0.02532043308019638,0.0003,0.005729707401769701,9989.0,0.6320116103896103
644,774144,378,1200,0.0011632698655375862,-1.1893167659640311,3770,-0.001947164535522461,0.2,0.06802142,0.303564453125,0.43965649604797363,-0.006321696098893881,0.0003,0.018279406100919004,9989.0,0.6320116103896103
644,776192,379,1203,0.0012252296943188411,-1.1833943717181683,3780,-0.006434321403503418,0.2,0.030716857,0.18408203125,0.4368974566459656,0.031774893403053284,0.0003,0.00595446396182524,9989.0,0.6320116103896103
644,778240,380,1206,0.0009616013887352893,-1.1697464745491744,3790,-0.03681159019470215,0.2,0.118906334,0.163330078125,0.4344482421875,-0.002248785924166441,0.0003,0.008320478944369825,9989.0,0.6320116103896103
644,780288,381,1209,0.002724358386331005,-1.152363344281912,3800,0.00011545419692993164,0.2,0.05628281,0.14658203125,0.428350567817688,0.011280636303126812,0.0003,0.00022041711490601302,9989.0,0.6375419871794871
644,782336,382,1212,0.0010833553187694633,-1.1446699511259795,3810,-0.003003358840942383,0.2,0.108910434,0.207373046875,0.43113523721694946,0.03615383058786392,0.0003,0.012375012031407095,9989.0,0.6375419871794871
645,784384,383,1216,0.0009430121795958257,-1.1483867555856704,3820,-0.0017850399017333984,0.2,0.12969574,0.162060546875,0.42996644973754883,0.017528168857097626,0.0003,0.016270763576903845,9989.0,0.6375419871794871
645,786432,384,1219,0.001666848142122035,-1.143843700364232,3830,-0.002516031265258789,0.2,0.07992864,0.210888671875,0.42964255809783936,0.0545768067240715,0.0003,0.014143659653200302,9989.0,0.6375419871794871
645,788480,385,1222,0.001607149921801465,-1.1498395286500454,3840,-0.020487070083618164,0.2,0.036409654,0.205419921875,0.4308837652206421,0.03832241892814636,0.0003,0.015166799783764872,9989.0,0.6375419871794871
645,790528,386,1225,0.0023242526225658367,-1.1664575848728418,3850,-3.635883331298828e-05,0.2,0.06301773,0.164697265625,0.43630269169807434,0.03529928997159004,0.0003,0.011963675427250565,9989.0,0.647719075949367
645,792576,387,1228,0.0009181139295833419,-1.1680005714297295,3860,-0.0160444974899292,0.2,0.050343342,0.165380859375,0.4334946274757385,0.016031887382268906,0.0003,0.011278766415489371,9989.0,0.647719075949367
645,794624,388,1231,0.0013336181642443989,-1.1717148009687661,3870,0.001368701457977295,0.2,0.023595395,0.156884765625,0.43735069036483765,0.008303762413561344,0.0003,0.003861433090060018,9989.0,0.647719075949367
645,796672,389,1234,0.0009012575686938362,-1.166286363825202,3880,-0.02050769329071045,0.2,0.03316532,0.1732421875,0.43187642097473145,0.012186847627162933,0.0003,0.0023260615955223328,9989.0,0.647719075949367
645,798720,390,1237,0.00174578941296204,-1.141180581972003,3890,0.008528470993041992,0.2,0.063347116,0.12197265625,0.42652443051338196,0.0176592655479908,0.0003,0.007571711830678396,9989.0,0.647719075949367
645,800768,391,1240,0.0017027758785843616,-1.1157312124967576,3900,-0.015768766403198242,0.2,0.056036294,0.154248046875,0.42309117317199707,-0.02593071013689041,0.0003,-0.00029329472163226457,9989.0,0.6453928250000001
645,802816,392,1244,0.0008976771154266316,-1.1179025128483773,3910,-0.035447120666503906,0.2,0.0852212,0.264013671875,0.4265914857387543,-0.006843207869678736,0.0003,0.01769654070667457,9989.0,0.6453928250000001
645,804864,393,1247,0.0015292735926777823,-1.13443123139441,3920,-0.0007001161575317383,0.2,0.04594907,0.214599609375,0.4289606511592865,0.03553533926606178,0.0003,0.02101862221461488,9989.0,0.6453928250000001
645,806912,394,1250,0.0009762529198269476,-1.1376832362264395,3930,-0.009166121482849121,0.2,0.02930288,0.161962890625,0.42731332778930664,-0.00782868918031454,0.0003,0.007116975545068271,9989.0,0.6453928250000001
645,808960,395,1253,0.002096305943996413,-1.1277117047458887,3940,0.0015130043029785156,0.2,0.07237055,0.141552734375,0.4252031743526459,0.0060763247311115265,0.0003,0.00562333582129213,9989.0,0.6453928250000001
644,811008,396,1257,0.0010015427169491886,-1.1297007460147142,3950,-0.025573253631591797,0.2,0.052582115,0.123388671875,0.4280097186565399,-0.014938474632799625,0.0003,0.006202712823869661,9989.0,0.6346660987654321
644,813056,397,1260,0.0011266559646173845,-1.124838475510478,3960,-0.0007486343383789062,0.2,0.014063621,0.114306640625,0.4226703643798828,0.006741569843143225,0.0003,-0.000672915400355123,9989.0,0.6346660987654321
644,815104,398,1264,0.0011756876432627906,-1.113171386346221,3970,-0.02372884750366211,0.2,0.03969741,0.14326171875,0.4240051805973053,-0.02040073461830616,0.0003,0.0037974767794366924,9989.0,0.6346660987654321
644,817152,399,1267,0.0009841906265137367,-1.1095009103417397,3980,-0.018678784370422363,0.2,0.024386546,0.181005859375,0.42020004987716675,0.018155571073293686,0.0003,0.023577480508538428,9989.0,0.6346660987654321
