time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/value_loss,train/loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/std,train/policy_gradient_loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
3871,1107,585,2267136,40.44297643303871,23.16054344177246,0.00016307830810546875,0.222900390625,2.4401166059076784,0.0003,11060,0.2,0.07125338166952133,0.0037221458303974943,0.01813892,423.2775832900001,9989.0
3875,1108,585,2269184,45.952880239486696,20.826440811157227,0.02497154474258423,0.249072265625,2.4387101128697397,0.0003,11070,0.2,0.07166138291358948,0.0017132956694695168,0.026031781,421.9473221800001,9989.0
3879,1109,585,2271232,44.470537680387494,21.941085815429688,0.011221110820770264,0.193505859375,2.44259742051363,0.0003,11080,0.2,0.07113709300756454,0.004562037042342126,0.018259961,421.9473221800001,9989.0
3883,1110,585,2273280,52.5256587266922,28.01049041748047,0.005681514739990234,0.23212890625,2.4423131331801415,0.0003,11090,0.2,0.0715576559305191,0.008232478849822655,0.017732404,421.9473221800001,9989.0
3886,1111,585,2275328,51.831060993671414,27.735254287719727,0.005714297294616699,0.223388671875,2.4283325619995595,0.0003,11100,0.2,0.07209667563438416,-0.0011117790869320742,0.022228308,421.9473221800001,9989.0
3890,1112,585,2277376,43.71024181246757,24.949562072753906,0.0032734274864196777,0.249072265625,2.4083290353417395,0.0003,11110,0.2,0.0729411393404007,0.0009524820736260154,0.02147344,421.9473221800001,9989.0
3893,1113,585,2279424,48.029957169294356,25.620616912841797,0.014322340488433838,0.201318359375,2.4046049818396567,0.0003,11120,0.2,0.07242892682552338,0.0007937996444525198,0.01864467,423.5250110700002,9989.0
3896,1114,585,2281472,50.3309850692749,22.839242935180664,0.013460993766784668,0.2208984375,2.413508792966604,0.0003,11130,0.2,0.07238805294036865,0.003841521246067714,0.015670473,423.5250110700002,9989.0
3900,1115,585,2283520,55.084087789058685,29.754976272583008,0.0012391209602355957,0.205517578125,2.4303633242845537,0.0003,11140,0.2,0.07143751531839371,-0.000590852433379041,0.017571118,423.5250110700002,9989.0
3903,1116,585,2285568,50.52293967604637,35.55715560913086,-0.013447999954223633,0.1982421875,2.4417239263653756,0.0003,11150,0.2,0.07126288115978241,0.0028645253769354895,0.01615791,423.5250110700002,9989.0
3907,1117,585,2287616,41.733430188894275,18.200040817260742,0.0018008947372436523,0.211669921875,2.4518825776875017,0.0003,11160,0.2,0.07075813412666321,0.0014698957762448116,0.027485106,421.2109721800001,9989.0
3910,1118,585,2289664,46.65682473182678,23.68040657043457,0.006537199020385742,0.23291015625,2.4670731157064436,0.0003,11170,0.2,0.07045038789510727,-0.000153823803702835,0.034461346,421.2109721800001,9989.0
3914,1119,585,2291712,46.630040276050565,20.215974807739258,0.014310836791992188,0.218896484375,2.461365518718958,0.0003,11180,0.2,0.07072548568248749,0.003245162275561597,0.022805016,421.2109721800001,9989.0
3917,1120,585,2293760,54.79548797607422,26.17440414428711,-0.004787325859069824,0.22509765625,2.4544031590223314,0.0003,11190,0.2,0.07123549282550812,0.002161248467746191,0.015341704,421.2109721800001,9989.0
3920,1121,585,2295808,46.98754423856735,27.653663635253906,-0.019132256507873535,0.22822265625,2.436868979036808,0.0003,11200,0.2,0.07182295620441437,0.007351840134651866,0.018373776,421.2109721800001,9989.0
3924,1122,585,2297856,40.613748455047606,21.71257972717285,-0.005740642547607422,0.215283203125,2.4215120866894724,0.0003,11210,0.2,0.07226566970348358,0.0002014287078054622,0.019598015,424.2080721800001,9989.0
3927,1123,585,2299904,51.634658420085906,28.351716995239258,0.016857147216796875,0.231640625,2.416225078701973,0.0003,11220,0.2,0.07231216132640839,0.004103159921942279,0.022345053,424.2080721800001,9989.0
3931,1124,585,2301952,48.45857226252556,22.2396297454834,0.006928205490112305,0.206640625,2.415815559774637,0.0003,11230,0.2,0.07232581824064255,0.0030399130926525688,0.021825984,424.2080721800001,9989.0
3934,1125,585,2304000,54.85040328502655,24.66143035888672,0.007390022277832031,0.1888671875,2.4058728605508803,0.0003,11240,0.2,0.07307536900043488,0.0020612554289982654,0.011011656,424.2080721800001,9989.0
3938,1126,585,2306048,48.76945422887802,24.526611328125,-0.002893686294555664,0.21708984375,2.4016405403614045,0.0003,11250,0.2,0.07272683829069138,0.003536120962235145,0.018627962,424.2080721800001,9989.0
3941,1127,585,2308096,42.834011083841325,21.08780860900879,0.011669695377349854,0.20224609375,2.4033271431922913,0.0003,11260,0.2,0.07259442657232285,0.0006644024295383133,0.02121861,423.63184996,9989.0
3944,1128,585,2310144,42.109728240966795,20.5145320892334,0.02033865451812744,0.223583984375,2.42248205691576,0.0003,11270,0.2,0.0715835839509964,-0.0009111929510254412,0.01778178,423.63184996,9989.0
3948,1129,585,2312192,47.83639640808106,25.39344596862793,0.007854878902435303,0.231591796875,2.4356519006192685,0.0003,11280,0.2,0.07147932052612305,0.005612068781920243,0.015181314,423.63184996,9989.0
3951,1130,585,2314240,49.70848395824432,23.438404083251953,0.004719436168670654,0.193115234375,2.451944785565138,0.0003,11290,0.2,0.070578932762146,0.00481615648677689,0.017650321,423.63184996,9989.0
