time,open,high,low,close,tick_volume,spread,real_volume
2022-08-02 20:00:00,1776.11,1777.16,1770.18,1770.34,5237,0,0
2022-08-02 21:00:00,1770.43,1770.43,1765.45,1766.36,4919,0,0
2022-08-02 22:00:00,1766.35,1767.45,1760.5,1760.63,4909,0,0
2022-08-02 23:00:00,1760.66,1763.72,1760.58,1761.04,2282,5,0
2022-08-03 01:00:00,1761.28,1761.97,1756.12,1759.76,1233,2,0
2022-08-03 02:00:00,1759.72,1759.82,1755.04,1756.7,1856,3,0
2022-08-03 03:00:00,1756.68,1759.64,1755.78,1756.75,3339,3,0
2022-08-03 04:00:00,1756.68,1764.99,1755.55,1764.78,5106,0,0
2022-08-03 05:00:00,1764.81,1767.14,1763.75,1765.38,3451,1,0
2022-08-03 06:00:00,1765.38,1769.39,1765.28,1768.92,2721,1,0
2022-08-03 07:00:00,1768.91,1769.93,1767.88,1768.88,2644,1,0
2022-08-03 08:00:00,1768.88,1770.66,1767.09,1769.6,3122,0,0
2022-08-03 09:00:00,1769.56,1769.56,1766.93,1767.82,3749,0,0
2022-08-03 10:00:00,1767.93,1769.76,1765.14,1766.16,4708,0,0
2022-08-03 11:00:00,1766.28,1768.38,1764.1,1765.14,3889,0,0
2022-08-03 12:00:00,1765.13,1766.84,1764.9,1765.81,3213,0,0
2022-08-03 13:00:00,1765.82,1766.4,1760.2,1763.32,4061,0,0
2022-08-03 14:00:00,1763.32,1767.34,1763.2,1765.5,3938,0,0
2022-08-03 15:00:00,1765.5,1772.5,1762.92,1771.94,6004,0,0
2022-08-03 16:00:00,1771.96,1772.8,1764.62,1766.82,6973,0,0
2022-08-03 17:00:00,1764.96,1764.96,1754.3,1757.42,9560,0,0
2022-08-03 18:00:00,1757.46,1759.94,1756.6,1758.51,5315,0,0
2022-08-03 19:00:00,1758.5,1761.52,1757.44,1759.42,4270,0,0
2022-08-03 20:00:00,1759.46,1762.39,1758.89,1761.93,3559,0,0
2022-08-03 21:00:00,1761.94,1763.54,1760.2,1762.48,2859,0,0
2022-08-03 22:00:00,1762.47,1766.26,1762.24,1765.26,3032,0,0
2022-08-03 23:00:00,1765.28,1766.1,1764.75,1765.47,1372,6,0
2022-08-04 01:00:00,1765.22,1765.81,1763.25,1763.36,606,0,0
2022-08-04 02:00:00,1763.26,1764.66,1763.26,1763.66,959,11,0
2022-08-04 03:00:00,1763.74,1767.54,1763.38,1767.46,1897,10,0
2022-08-04 04:00:00,1767.47,1769.63,1766.02,1768.18,3400,3,0
2022-08-04 05:00:00,1768.13,1769.35,1766.96,1769.3,1997,0,0
2022-08-04 06:00:00,1769.3,1771.54,1769.25,1770.75,1966,0,0
2022-08-04 07:00:00,1770.74,1772.0,1770.2,1770.98,1590,3,0
2022-08-04 08:00:00,1770.98,1774.67,1769.45,1769.94,2637,9,0
2022-08-04 09:00:00,1770.07,1772.67,1769.13,1771.74,3033,0,0
2022-08-04 10:00:00,1771.73,1774.86,1771.13,1773.06,4053,0,0
2022-08-04 11:00:00,1773.02,1777.01,1772.77,1776.36,3635,0,0
2022-08-04 12:00:00,1776.39,1780.2,1776.09,1779.76,3636,0,0
2022-08-04 13:00:00,1779.77,1783.12,1778.29,1781.61,3457,0,0
2022-08-04 14:00:00,1781.57,1786.22,1780.56,1785.67,5395,0,0
2022-08-04 15:00:00,1785.67,1788.26,1780.71,1780.71,6934,0,0
2022-08-04 16:00:00,1780.79,1784.14,1774.33,1783.49,8127,0,0
2022-08-04 17:00:00,1783.5,1787.74,1782.16,1785.83,7571,0,0
2022-08-04 18:00:00,1785.8,1790.16,1785.28,1787.78,5709,0,0
2022-08-04 19:00:00,1787.79,1791.5,1787.2,1790.54,4259,0,0
2022-08-04 20:00:00,1790.51,1792.82,1789.43,1791.87,3409,0,0
2022-08-04 21:00:00,1791.86,1794.94,1791.27,1794.69,3445,0,0
2022-08-04 22:00:00,1794.8,1794.86,1792.0,1793.63,2631,0,0
2022-08-04 23:00:00,1793.63,1793.74,1790.65,1791.13,1764,4,0
2022-08-05 01:00:00,1790.61,1791.12,1789.68,1791.06,749,5,0
2022-08-05 02:00:00,1791.12,1793.68,1791.12,1793.38,1136,0,0
2022-08-05 03:00:00,1793.25,1794.9,1791.84,1794.05,2494,1,0
2022-08-05 04:00:00,1794.05,1794.88,1788.76,1790.16,3955,2,0
2022-08-05 05:00:00,1790.12,1791.4,1788.8,1791.07,2813,5,0
2022-08-05 06:00:00,1791.07,1793.14,1790.95,1792.2,1907,9,0
2022-08-05 07:00:00,1792.16,1792.94,1791.13,1791.84,1459,0,0
2022-08-05 08:00:00,1791.8,1792.74,1789.91,1791.38,2419,6,0
2022-08-05 09:00:00,1791.46,1792.4,1788.58,1790.84,3447,0,0
2022-08-05 10:00:00,1790.8,1792.43,1788.72,1790.5,4326,0,0
