,time,open,high,low,close,tick_volume,spread,real_volume,account_balance
4823,2021-10-19 03:00:00,0.74154,0.74272,0.74152,0.74262,1905,0,0,10000
4824,2021-10-19 04:00:00,0.74261,0.74455,0.7421,0.74411,2728,0,0,10000
4825,2021-10-19 05:00:00,0.74414,0.74446,0.74364,0.74436,1641,0,0,10000
4826,2021-10-19 06:00:00,0.74436,0.74517,0.74399,0.7448,1186,0,0,10000
4827,2021-10-19 07:00:00,0.7448,0.74565,0.74475,0.74534,1206,0,0,10000
4828,2021-10-19 08:00:00,0.74535,0.74642,0.74535,0.74636,1289,0,0,10000
4829,2021-10-19 09:00:00,0.74639,0.74736,0.74628,0.74723,2447,0,0,10000
4830,2021-10-19 10:00:00,0.74723,0.74762,0.74629,0.74629,3812,0,0,10000
4831,2021-10-19 11:00:00,0.7463,0.74705,0.74626,0.74686,2652,0,0,10000
4832,2021-10-19 12:00:00,0.74685,0.74728,0.74633,0.74728,2010,0,0,10000
4833,2021-10-19 13:00:00,0.74725,0.74748,0.74689,0.74699,2151,0,0,10000
4834,2021-10-19 14:00:00,0.74697,0.74706,0.74656,0.74681,2069,0,0,10000
4835,2021-10-19 15:00:00,0.74683,0.74713,0.74566,0.74605,3163,0,0,10000
4836,2021-10-19 16:00:00,0.74605,0.74719,0.74556,0.747,4214,0,0,10000
4837,2021-10-19 17:00:00,0.74701,0.74778,0.74629,0.74768,4298,0,0,10000
4838,2021-10-19 18:00:00,0.74769,0.74835,0.74694,0.7481,2879,0,0,10000
4839,2021-10-19 19:00:00,0.74811,0.74825,0.74749,0.74809,1932,0,0,10000
4840,2021-10-19 20:00:00,0.74808,0.74856,0.74799,0.74838,1423,0,0,10000
4841,2021-10-19 21:00:00,0.74836,0.74844,0.74769,0.7479,1221,0,0,10000
4842,2021-10-19 22:00:00,0.74789,0.74789,0.74719,0.7476,1425,0,0,10000
4843,2021-10-19 23:00:00,0.7476,0.74763,0.74719,0.7472,656,0,0,10000
4844,2021-10-20 00:00:00,0.74697,0.74747,0.74668,0.74712,181,6,0,10000
4845,2021-10-20 01:00:00,0.74712,0.7475,0.74711,0.74739,597,0,0,10000
4846,2021-10-20 02:00:00,0.74738,0.74769,0.74721,0.74748,663,0,0,10000
4847,2021-10-20 03:00:00,0.74748,0.74769,0.74652,0.74744,1716,0,0,10000
4848,2021-10-20 04:00:00,0.74744,0.74898,0.74718,0.74853,2234,0,0,10000
4849,2021-10-20 05:00:00,0.74853,0.7487,0.74804,0.74809,1382,0,0,10000
4850,2021-10-20 06:00:00,0.7481,0.74923,0.74799,0.7491,900,0,0,10000
4851,2021-10-20 07:00:00,0.7491,0.75041,0.74909,0.74978,1360,0,0,10000
4852,2021-10-20 08:00:00,0.74979,0.74986,0.74904,0.74943,1141,0,0,10000
4853,2021-10-20 09:00:00,0.74943,0.7496,0.74818,0.74822,2087,0,0,10000
4854,2021-10-20 10:00:00,0.74823,0.74893,0.74797,0.74881,2924,0,0,10000
4855,2021-10-20 11:00:00,0.74881,0.74957,0.7487,0.74891,2095,0,0,10000
4856,2021-10-20 12:00:00,0.74889,0.74893,0.74815,0.7488,1485,0,0,10000
4857,2021-10-20 13:00:00,0.74881,0.74912,0.74849,0.74895,1883,0,0,10000
4858,2021-10-20 14:00:00,0.74895,0.74909,0.74808,0.74812,1822,0,0,10000
