,time,open,high,low,close,tick_volume,spread,real_volume
3504,2020-08-03 00:00:00,75.374,75.483,75.374,75.474,126,24,0
3505,2020-08-03 01:00:00,75.474,75.63,75.437,75.615,4209,5,0
3506,2020-08-03 02:00:00,75.616,75.658,75.528,75.642,3442,3,0
3507,2020-08-03 03:00:00,75.642,75.803,75.52,75.663,7718,3,0
3508,2020-08-03 04:00:00,75.663,75.702,75.473,75.581,7082,3,0
3509,2020-08-03 05:00:00,75.582,75.592,75.456,75.529,3819,3,0
3510,2020-08-03 06:00:00,75.529,75.575,75.483,75.508,2951,3,0
3511,2020-08-03 07:00:00,75.508,75.586,75.492,75.539,2800,3,0
3512,2020-08-03 08:00:00,75.54,75.65,75.537,75.634,2697,3,0
3513,2020-08-03 09:00:00,75.634,75.637,75.377,75.407,4527,3,0
3514,2020-08-03 10:00:00,75.407,75.458,75.233,75.355,5766,3,0
3515,2020-08-03 11:00:00,75.355,75.417,75.228,75.242,4762,3,0
3516,2020-08-03 12:00:00,75.241,75.281,75.098,75.159,4725,3,0
3517,2020-08-03 13:00:00,75.16,75.41,75.125,75.392,5322,3,0
3518,2020-08-03 14:00:00,75.392,75.464,75.311,75.464,4158,3,0
3519,2020-08-03 15:00:00,75.464,75.496,75.308,75.357,5220,3,0
3520,2020-08-03 16:00:00,75.359,75.403,75.277,75.336,6111,3,0
3521,2020-08-03 17:00:00,75.336,75.455,75.272,75.348,7742,3,0
3522,2020-08-03 18:00:00,75.347,75.459,75.323,75.409,4656,3,0
3523,2020-08-03 19:00:00,75.409,75.496,75.403,75.478,2967,3,0
3524,2020-08-03 20:00:00,75.477,75.5,75.448,75.48,2811,3,0
3525,2020-08-03 21:00:00,75.48,75.501,75.433,75.454,2498,3,0
3526,2020-08-03 22:00:00,75.454,75.502,75.432,75.49,3054,3,0
3527,2020-08-03 23:00:00,75.49,75.504,75.457,75.468,1239,3,0
3528,2020-08-04 00:00:00,75.468,75.517,75.428,75.472,200,17,0
3529,2020-08-04 01:00:00,75.455,75.548,75.415,75.445,1769,7,0
3530,2020-08-04 02:00:00,75.446,75.485,75.431,75.454,1469,3,0
3531,2020-08-04 03:00:00,75.454,75.528,75.385,75.503,3341,3,0
3532,2020-08-04 04:00:00,75.503,75.602,75.474,75.568,3468,3,0
3533,2020-08-04 05:00:00,75.568,75.671,75.568,75.646,2811,3,0
3534,2020-08-04 06:00:00,75.646,75.657,75.579,75.607,1435,3,0
3535,2020-08-04 07:00:00,75.606,75.71,75.519,75.641,2722,3,0
3536,2020-08-04 08:00:00,75.641,75.655,75.514,75.641,2167,3,0
3537,2020-08-04 09:00:00,75.642,75.78,75.554,75.69,4180,3,0
3538,2020-08-04 10:00:00,75.69,75.712,75.57,75.606,6376,3,0
3539,2020-08-04 11:00:00,75.606,75.7,75.539,75.692,5432,3,0
3540,2020-08-04 12:00:00,75.691,75.757,75.655,75.713,4295,3,0
3541,2020-08-04 13:00:00,75.713,75.757,75.674,75.747,4280,3,0
3542,2020-08-04 14:00:00,75.747,75.781,75.595,75.706,4530,3,0
3543,2020-08-04 15:00:00,75.706,75.722,75.564,75.588,4910,3,0
3544,2020-08-04 16:00:00,75.585,75.632,75.508,75.596,5865,3,0
3545,2020-08-04 17:00:00,75.595,75.742,75.544,75.716,7105,3,0
3546,2020-08-04 18:00:00,75.716,75.77,75.647,75.691,4908,3,0
3547,2020-08-04 19:00:00,75.691,75.712,75.608,75.637,3055,3,0
3548,2020-08-04 20:00:00,75.637,75.699,75.606,75.699,2571,3,0
3549,2020-08-04 21:00:00,75.7,75.702,75.572,75.671,2635,3,0
3550,2020-08-04 22:00:00,75.671,75.712,75.658,75.703,3164,3,0
3551,2020-08-04 23:00:00,75.706,75.746,75.67,75.703,2425,3,0
3552,2020-08-05 00:00:00,75.672,75.705,75.489,75.669,257,23,0
3553,2020-08-05 01:00:00,75.669,75.762,75.665,75.738,1921,3,0
3554,2020-08-05 02:00:00,75.738,75.811,75.666,75.799,1728,3,0
3555,2020-08-05 03:00:00,75.799,75.819,75.696,75.718,4714,3,0
3556,2020-08-05 04:00:00,75.718,75.81,75.696,75.757,4285,3,0
3557,2020-08-05 05:00:00,75.757,75.91,75.739,75.902,2997,3,0
3558,2020-08-05 06:00:00,75.903,75.923,75.852,75.903,2224,3,0
3559,2020-08-05 07:00:00,75.903,75.91,75.858,75.89,1537,3,0
3560,2020-08-05 08:00:00,75.89,75.915,75.859,75.859,1747,3,0
