time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/std,train/clip_fraction,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
4071424,693,5870,1988,0.0003,0.3302311599254608,0.110546875,9.28659439086914,-0.6128294643014669,-0.0032647380212438293,26.619589714705945,0.0077032135,0.003417670726776123,0.2,19870,3529.9141722099994,9989.0
4073472,693,5873,1989,0.0003,0.3303793668746948,0.11640625,7.161876201629639,-0.6229190604761243,9.97134280623868e-05,28.06455677449703,0.014823984,-0.010592818260192871,0.2,19880,3529.9141722099994,9989.0
4075520,693,5876,1990,0.0003,0.3319663405418396,0.1365234375,9.646100044250488,-0.6279562659561634,-0.0019354364485479891,11.759597617387772,0.0107525475,0.002172231674194336,0.2,19890,3539.8824444299994,9989.0
4077568,693,5878,1991,0.0003,0.33257365226745605,0.0919921875,30.91551399230957,-0.6337507320567966,-0.004858239019813482,50.09135492444038,0.009287395,0.04763990640640259,0.2,19900,3539.8824444299994,9989.0
4079616,693,5881,1992,0.0003,0.33597272634506226,0.14990234375,8.050856590270996,-0.6458819096907973,-0.0007954735337989405,13.309894742816686,0.011525379,-0.0005823373794555664,0.2,19910,3539.8824444299994,9989.0
4081664,693,5884,1993,0.0003,0.33677905797958374,0.111474609375,11.599661827087402,-0.6588097082450985,-0.002804509257839527,31.986238077282906,0.010277459,0.020315051078796387,0.2,19920,3539.8824444299994,9989.0
4083712,693,5887,1994,0.0003,0.3406670093536377,0.120263671875,3.814854621887207,-0.6754564194008708,-0.0009582242026226595,26.044976644217968,0.010104628,-0.053151845932006836,0.2,19930,3539.8824444299994,9989.0
4085760,693,5890,1995,0.0003,0.3394295573234558,0.1095703125,16.23358726501465,-0.6800065444782376,-0.0011649706808384507,38.80778257250786,0.011964381,0.013599812984466553,0.2,19940,3544.9855610999994,9989.0
4087808,693,5893,1996,0.0003,0.33889031410217285,0.09921875,10.382408142089844,-0.6757661357522011,-0.004931243076862301,29.200925207138063,0.0081725,0.05343419313430786,0.2,19950,3544.9855610999994,9989.0
4089856,693,5896,1997,0.0003,0.340153306722641,0.146875,1.1838048696517944,-0.6776459239423275,-8.362976222997531e-05,13.128154614940286,0.0096850125,-0.039517879486083984,0.2,19960,3544.9855610999994,9989.0
4091904,693,5898,1998,0.0003,0.34142857789993286,0.126953125,2.432859420776367,-0.6852249624207616,-0.0010959118604660033,19.994352196156978,0.009219353,-0.0010770559310913086,0.2,19970,3544.9855610999994,9989.0
4093952,693,5901,1999,0.0003,0.34393543004989624,0.15009765625,12.375434875488281,-0.6940143084153533,-0.002071207418339327,25.87020060271025,0.018498542,0.0032632946968078613,0.2,19980,3544.9855610999994,9989.0
4096000,693,5904,2000,0.0003,0.34685543179512024,0.148046875,1.8587915897369385,-0.7133374597877264,-0.013992559356847779,1.6937682538875378,0.01720939,0.004584312438964844,0.2,19990,3554.94502221,9989.0
4098048,693,5907,2001,0.0003,0.34741467237472534,0.098486328125,30.982404708862305,-0.7211004765704274,-0.0054066060169134286,34.53025123476982,0.0075888406,0.02247840166091919,0.2,20000,3554.94502221,9989.0
4100096,693,5910,2002,0.0003,0.3386048674583435,0.154736328125,0.10936768352985382,-0.6982960797846317,-0.010718354226264637,0.39018068814184514,0.011763044,-4.891170024871826,0.2,20010,3554.94502221,9989.0
4102144,693,5914,2003,0.0003,0.3390485644340515,0.084619140625,19.045970916748047,-0.6731115533038974,0.0010739376346464268,33.12947586923838,0.0052296147,0.002371847629547119,0.2,20020,3554.94502221,9989.0
4104192,693,5917,2004,0.0003,0.3396289348602295,0.12919921875,9.285680770874023,-0.6775694282725453,-0.00410502627491951,15.12924313545227,0.014997021,-0.018392324447631836,0.2,20030,3554.94502221,9989.0
4106240,693,5919,2005,0.0003,0.34125208854675293,0.1142578125,7.416075229644775,-0.6824788831174373,-0.004195837267616298,19.280020985007287,0.014516225,0.07059097290039062,0.2,20040,3563.4178277700003,9989.0
4108288,693,5922,2006,0.0003,0.34037649631500244,0.0927734375,22.22233772277832,-0.6852438516914845,-0.005923203380370978,44.95670064687729,0.0087872,0.030319631099700928,0.2,20050,3563.4178277700003,9989.0
4110336,693,5925,2007,0.0003,0.3388228118419647,0.14609375,0.022089041769504547,-0.6778660446405411,-0.012776054765708977,0.3329502926324494,0.01364431,-6.965192794799805,0.2,20060,3563.4178277700003,9989.0
4112384,693,5928,2008,0.0003,0.34025299549102783,0.123583984375,5.502974033355713,-0.6782652577385306,-0.001092448203417007,33.08393789231777,0.0084489565,0.003885805606842041,0.2,20070,3563.4178277700003,9989.0
4114432,693,5931,2009,0.0003,0.3403257727622986,0.129296875,8.525738716125488,-0.6818766959011555,-0.005746144949807785,16.264920757338405,0.010859868,-0.007983803749084473,0.2,20080,3563.4178277700003,9989.0
4116480,693,5934,2010,0.0003,0.34333139657974243,0.09482421875,16.179750442504883,-0.6908703360706567,-0.005491131170856534,28.24256857931614,0.0082904855,0.057219862937927246,0.2,20090,3567.63282777,9989.0
4118528,693,5936,2011,0.0003,0.3430032432079315,0.083935546875,13.684927940368652,-0.6983409171923995,-0.0019244703114964068,36.97825358510018,0.00516831,0.03242689371109009,0.2,20100,3567.63282777,9989.0
4120576,693,5939,2012,0.0003,0.3432886004447937,0.18349609375,0.2571023404598236,-0.694808360747993,-0.009541114275634754,1.702420932846144,0.015680617,-0.15545642375946045,0.2,20110,3567.63282777,9989.0
4122624,693,5942,2013,0.0003,0.34298527240753174,0.113671875,22.318750381469727,-0.7007480796426535,-0.0003740233587450348,39.94204888641834,0.008228958,0.0020516514778137207,0.2,20120,3567.63282777,9989.0
4124672,693,5945,2014,0.0003,0.34290367364883423,0.16923828125,0.047183528542518616,-0.6947698384523392,-0.0080883020949841,0.3022741479566321,0.016870765,-13.021849632263184,0.2,20130,3567.63282777,9989.0
4126720,693,5947,2015,0.0003,0.34251582622528076,0.09931640625,16.036907196044922,-0.6943983312696218,-0.0029906055904575625,30.378873214125633,0.007347366,0.0602569580078125,0.2,20140,3576.09316666,9989.0
4128768,693,5950,2016,0.0003,0.346729040145874,0.134716796875,3.192481517791748,-0.7081384014338254,-0.0005058868242485915,10.23958913879469,0.015078566,0.0030472874641418457,0.2,20150,3576.09316666,9989.0
4130816,693,5953,2017,0.0003,0.34077802300453186,0.110009765625,17.818227767944336,-0.7009459517896175,-0.0027427881519543006,19.459424224495887,0.012391632,0.005434572696685791,0.2,20160,3576.09316666,9989.0
4132864,693,5956,2018,0.0003,0.3392368257045746,0.099072265625,18.79077911376953,-0.6787923742085695,-0.00039522084553027524,39.10339696705341,0.008127963,0.004486262798309326,0.2,20170,3576.09316666,9989.0
4134912,693,5958,2019,0.0003,0.34528684616088867,0.16240234375,3.574897527694702,-0.692437132820487,-0.003264969571318943,8.021214398136362,0.012212707,-0.015216350555419922,0.2,20180,3576.09316666,9989.0
4136960,693,5961,2020,0.0003,0.3462449610233307,0.085205078125,15.509899139404297,-0.7157521940767765,-0.005645032161555719,24.64852270632982,0.007989876,0.06345188617706299,0.2,20190,3583.3152833299996,9989.0
4139008,693,5964,2021,0.0003,0.3490237593650818,0.178857421875,0.34033259749412537,-0.7240675261244178,0.0014773899238207377,10.321342408191413,0.014993917,0.0060127973556518555,0.2,20200,3583.3152833299996,9989.0
4141056,693,5967,2022,0.0003,0.35269367694854736,0.14169921875,0.02332652546465397,-0.7437891669571399,-0.012482622794050258,0.2097948857699521,0.013757802,-8.26047134399414,0.2,20210,3583.3152833299996,9989.0
4143104,693,5969,2023,0.0003,0.35339993238449097,0.11796875,22.48714256286621,-0.7545659292489291,0.00025586560514057055,33.12187343537808,0.010102002,0.003265678882598877,0.2,20220,3583.3152833299996,9989.0
4145152,694,5972,2024,0.0003,0.3564007878303528,0.134765625,6.182749271392822,-0.7654756665229797,-0.006753799668513238,19.761805599927904,0.011822125,-0.010520219802856445,0.2,20230,3583.3152833299996,9989.0
4147200,694,5975,2025,0.0003,0.35714060068130493,0.1171875,10.521862983703613,-0.776031412370503,-0.006097606266848743,25.782894468307497,0.009384888,0.07122337818145752,0.2,20240,3591.2891888899994,9989.0
4149248,694,5978,2026,0.0003,0.36482733488082886,0.194091796875,0.41488704085350037,-0.7976877860724926,-0.0019436219357885421,10.367582206521183,0.024723202,0.0018704533576965332,0.2,20250,3591.2891888899994,9989.0
4151296,694,5980,2027,0.0003,0.3596411347389221,0.130029296875,0.028011614456772804,-0.8061695599928498,-0.0125619404061581,0.1970444473787211,0.0103389695,-7.834832191467285,0.2,20260,3591.2891888899994,9989.0
4153344,694,5983,2028,0.0003,0.3590241074562073,0.08203125,12.85324478149414,-0.7914833847433329,-0.0003050745421205647,32.92310236692428,0.009719147,0.002068042755126953,0.2,20270,3591.2891888899994,9989.0
4155392,694,5986,2029,0.0003,0.35867589712142944,0.125634765625,0.012595593929290771,-0.7875445859506727,-0.014668428279401268,0.23906502670724877,0.014622577,-8.81767463684082,0.2,20280,3591.2891888899994,9989.0
4157440,694,5989,2030,0.0003,0.3583846092224121,0.09658203125,7.930994987487793,-0.7852099988609552,-0.005893800225749146,17.77495119944215,0.007084913,0.06397801637649536,0.2,20290,3604.6618944499996,9989.0
4159488,694,5991,2031,0.0003,0.35703468322753906,0.121435546875,11.722146987915039,-0.7824002964422107,-0.002283982522203587,10.893214112333954,0.012416043,-0.002623915672302246,0.2,20300,3604.6618944499996,9989.0
4161536,694,5994,2032,0.0003,0.35850614309310913,0.13427734375,2.5770113468170166,-0.7816440775990486,0.0015642130252672358,9.68630711250007,0.014480898,-0.008396744728088379,0.2,20310,3604.6618944499996,9989.0
4163584,694,5997,2033,0.0003,0.36015188694000244,0.089208984375,21.035499572753906,-0.79051185362041,-0.00476720989390742,38.15753297805786,0.010596223,-0.0011751651763916016,0.2,20320,3604.6618944499996,9989.0
4165632,694,6000,2034,0.0003,0.362679660320282,0.0990234375,8.329895973205566,-0.8014584500342607,-0.004141399542277213,21.11191802173853,0.012112347,-0.0006849765777587891,0.2,20330,3612.8008166800005,9989.0
4167680,694,6002,2035,0.0003,0.36233043670654297,0.091064453125,6.74911642074585,-0.8089364038780331,-0.003129159075615462,28.293752728402616,0.008948188,0.05127376317977905,0.2,20340,3612.8008166800005,9989.0
4169728,694,6005,2036,0.0003,0.35676097869873047,0.127783203125,0.03960952162742615,-0.789417339488864,-0.015412316438596464,0.22347615286125802,0.012984468,-6.468631744384766,0.2,20350,3612.8008166800005,9989.0
4171776,694,6008,2037,0.0003,0.35758262872695923,0.091357421875,3.5669491291046143,-0.7793180268257857,0.0015252875484293327,10.573394508287311,0.0065640295,0.00403749942779541,0.2,20360,3612.8008166800005,9989.0
4173824,694,6011,2038,0.0003,0.35338208079338074,0.15283203125,4.992333889007568,-0.7691379273310304,-0.0034890661816461945,16.184332747757434,0.010574194,0.0016518235206604004,0.2,20370,3612.8008166800005,9989.0
4175872,694,6014,2039,0.0003,0.35823795199394226,0.1435546875,-0.041554536670446396,-0.7736052975058556,-0.010333724402880762,0.14147103966679425,0.022070322,-8.082005500793457,0.2,20380,3622.80990001,9989.0
4177920,694,6016,2040,0.0003,0.3584476113319397,0.1103515625,7.094526767730713,-0.7855558326467872,-0.0041965538272052075,21.659197340905667,0.0109299235,0.05555844306945801,0.2,20390,3622.80990001,9989.0
4179968,694,6019,2041,0.0003,0.3472152352333069,0.115283203125,0.062363214790821075,-0.7535583052784205,-0.014200509327201872,0.151441677485127,0.011132145,-8.097001075744629,0.2,20400,3622.80990001,9989.0
4182016,694,6022,2042,0.0003,0.34578606486320496,0.116943359375,16.791946411132812,-0.7167079051956534,0.001363973926345352,33.215946742892264,0.003837579,0.0028159022331237793,0.2,20410,3622.80990001,9989.0
4184064,694,6025,2043,0.0003,0.34615111351013184,0.14658203125,0.06886065751314163,-0.7146199598908425,-0.014021220251743216,0.14596032237168402,0.014837899,-24.1987247467041,0.2,20420,3622.80990001,9989.0
4186112,694,6027,2044,0.0003,0.34812527894973755,0.05439453125,10.0607328414917,-0.7206530120223761,-0.003621094988193363,29.70697491168976,0.007973421,0.03945571184158325,0.2,20430,3625.8219500100004,9989.0
4188160,694,6030,2045,0.0003,0.3488262891769409,0.079296875,17.653207778930664,-0.7290817217901349,-0.0039766196408891116,38.68938310146332,0.0063205645,0.03192782402038574,0.2,20440,3625.8219500100004,9989.0
