time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/learning_rate,train/explained_variance,train/std,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/value_loss,train/n_updates
3678,1072,1.8089116299999999,1071.0,1927,3946496,0.0003,0.29916149377822876,0.08677756786346436,2.060461501032114,0.008563207389670424,0.03737171,0.2,0.33154296875,-0.009951925836503506,0.0013200141642300879,19260
3680,1072,1.8032672000000003,1071.0,1928,3948544,0.0003,0.3330621123313904,0.0862361341714859,2.0614503897726535,0.003214832101366483,0.045606013,0.2,0.327783203125,0.04402867704629898,0.0014945984456062433,19270
3683,1072,1.79412643,1071.0,1929,3950592,0.0003,0.38287001848220825,0.08733510971069336,2.053358459472656,0.006103333688952261,0.033159003,0.2,0.33857421875,0.013488538563251495,0.0015461680437510949,19280
3684,1072,1.78785946,1071.0,1930,3952640,0.0003,0.280687153339386,0.0874684602022171,2.040654992312193,0.009088556980714202,0.03130707,0.2,0.35107421875,0.03638597950339317,0.0015774770838106634,19290
3686,1072,1.7819193699999998,1071.0,1931,3954688,0.0003,0.33752167224884033,0.08741796016693115,2.0407988734543325,0.007394051610026509,0.041991107,0.2,0.328564453125,-0.010945240035653114,0.0014796154220675817,19300
3688,1072,1.7800003700000002,1071.0,1932,3956736,0.0003,0.3515157103538513,0.08767946064472198,2.040797583013773,0.00662231415626593,0.044887252,0.2,0.319189453125,-0.001245762687176466,0.001545098929091182,19310
3690,1072,1.7702638899999998,1071.0,1933,3958784,0.0003,0.4063546061515808,0.08756477385759354,2.037329249829054,0.006141612125793472,0.07087023,0.2,0.386962890625,0.024088051170110703,0.001464317297177331,19320
3691,1072,1.7645260599999997,1071.0,1934,3960832,0.0003,0.3509942293167114,0.08843576908111572,2.026807903498411,0.005492414110631216,0.057220414,0.2,0.377099609375,0.035939089953899384,0.0015490252055315068,19330
3693,1072,1.75787643,1071.0,1935,3962880,0.0003,0.36078739166259766,0.08954983949661255,2.005698674917221,0.006016246820217929,0.056736924,0.2,0.332421875,-0.01123886089771986,0.0016447094243631,19340
3695,1072,1.75416536,1071.0,1936,3964928,0.0003,0.38614898920059204,0.08890379965305328,2.0014715127646925,0.008290255683823489,0.052537158,0.2,0.3646484375,0.03060797229409218,0.0015111415816136287,19350
3697,1072,1.74899912,1071.0,1937,3966976,0.0003,0.39306801557540894,0.08963587880134583,2.001649635285139,0.007309455925133079,0.040320173,0.2,0.320654296875,-0.017381858080625534,0.0013282384621561504,19360
3699,1072,1.7381272300000004,1071.0,1938,3969024,0.0003,0.27926182746887207,0.09044603258371353,1.9824398886412382,0.003696222274447791,0.047954906,0.2,0.334912109375,-0.0051889740861952305,0.0013011428316531237,19370
3700,1073,1.73664363,1071.0,1939,3971072,0.0003,0.35927391052246094,0.09085114300251007,1.9684992615133523,0.005296006365097128,0.03214598,0.2,0.302783203125,0.0006722429534420371,0.0014853062446491094,19380
3702,1073,1.7333846500000005,1071.0,1940,3973120,0.0003,0.38506072759628296,0.09182502329349518,1.9530742328613997,0.005475244858826045,0.05524525,0.2,0.340478515625,0.034773051738739014,0.0013279397415317362,19390
3704,1073,1.7326904600000004,1071.0,1941,3975168,0.0003,0.3612750768661499,0.09244481474161148,1.938191618770361,0.007945754827233031,0.06191255,0.2,0.34765625,-0.002760918578132987,0.0015000586383393966,19400
3706,1073,1.73039957,1071.0,1942,3977216,0.0003,0.38693296909332275,0.09191437810659409,1.9366611521691084,0.006491729454137385,0.03261706,0.2,0.323779296875,0.0021119280718266964,0.0015136730720769266,19410
3707,1073,1.7205908100000002,1071.0,1943,3979264,0.0003,0.38116806745529175,0.09200027585029602,1.9409836065024137,0.005593127974134404,0.054258466,0.2,0.333837890625,-0.017407463863492012,0.001555652233400906,19420
3709,1073,1.7117672099999999,1071.0,1944,3981312,0.0003,0.3641326427459717,0.0927814468741417,1.9301898155361414,0.007138832681812346,0.04252301,0.2,0.3205078125,0.006404820829629898,0.0014559386667315267,19430
3711,1073,1.7083489899999997,1071.0,1945,3983360,0.0003,0.37569552659988403,0.09225735068321228,1.9268542960286141,0.003710653401503805,0.04806513,0.2,0.3203125,0.011751072481274605,0.0014223490061340271,19440
3713,1073,1.69873064,1071.0,1946,3985408,0.0003,0.3807823061943054,0.09234227985143661,1.933420428261161,0.003981379260949325,0.04192207,0.2,0.316064453125,-0.026967067271471024,0.0015787338534209994,19450
3715,1073,1.69259826,1071.0,1947,3987456,0.0003,0.3734789490699768,0.0906401127576828,1.9518871273845435,0.0036468290592893025,0.030697495,0.2,0.2984375,-0.00806780718266964,0.0014980165722590754,19460
3716,1073,1.68912715,1071.0,1948,3989504,0.0003,0.3575836420059204,0.09111097455024719,1.962017200514674,0.001979417083930457,0.034315027,0.2,0.330517578125,-0.053944241255521774,0.0015085405868376256,19470
3718,1073,1.68723985,1071.0,1949,3991552,0.0003,0.3546084761619568,0.09084577858448029,1.9593386951833964,0.0019866915143211374,0.034575276,0.2,0.311962890625,-0.023428183048963547,0.001431580052121717,19480
3720,1073,1.6869839800000002,1071.0,1950,3993600,0.0003,0.2585359215736389,0.091367706656456,1.9589696645736694,0.005523807847930584,0.035130195,0.2,0.332958984375,0.005400207359343767,0.001298037459491752,19490
3722,1073,1.68607901,1071.0,1951,3995648,0.0003,0.37905341386795044,0.09178583323955536,1.9460648465901613,0.0019470219151116908,0.034250297,0.2,0.317919921875,-0.044661615043878555,0.0014454414842475672,19500
3723,1073,1.6850117199999999,1071.0,1952,3997696,0.0003,0.3984763026237488,0.09147469699382782,1.9465951710939406,0.000762454000505386,0.047112964,0.2,0.337646484375,-0.014192008413374424,0.001575309310828743,19510
3725,1073,1.6890270900000004,1071.0,1953,3999744,0.0003,0.3533715009689331,0.0909077525138855,1.9544166844338178,-0.003309968802204821,0.04490215,0.2,0.3095703125,-0.012131383642554283,0.0014477631119007128,19520
3727,1073,1.6833333099999999,1071.0,1954,4001792,0.0003,0.3892984390258789,0.09078383445739746,1.9611324924975633,0.002975745391449891,0.027516227,0.2,0.2943359375,-0.025991695001721382,0.0015135773084693938,19530
3729,1073,1.67799555,1071.0,1955,4003840,0.0003,0.35669082403182983,0.09055349230766296,1.9652622494846583,0.0026156269741477445,0.0446393,0.2,0.323046875,-0.027020521461963654,0.0015623219691406121,19540
3731,1073,1.6800698399999998,1071.0,1956,4005888,0.0003,0.3719795346260071,0.0905056893825531,1.970910907536745,0.009881905429210747,0.030263392,0.2,0.325634765625,0.013213174417614937,0.001334726396635233,19550
3732,1073,1.68241536,1071.0,1957,4007936,0.0003,0.2895299196243286,0.09064708650112152,1.968632037565112,0.004494238369807136,0.037502334,0.2,0.333642578125,0.005755654536187649,0.0015107742548934767,19560
3734,1073,1.6819695100000005,1071.0,1958,4009984,0.0003,0.37447094917297363,0.09069067239761353,1.9682129234075547,0.0013750548096140847,0.026471943,0.2,0.3162109375,-0.009180121123790741,0.0015034481069960749,19570
3736,1073,1.6796033300000002,1071.0,1959,4012032,0.0003,0.36882954835891724,0.09050321578979492,1.9729049313813447,0.0032832604469149374,0.03755904,0.2,0.335693359375,-0.023208346217870712,0.0014357095868035685,19580
3738,1073,1.6800049800000003,1071.0,1960,4014080,0.0003,0.36526745557785034,0.09000884741544724,1.9817107029259204,0.004029163137602154,0.043108553,0.2,0.353173828125,-0.008070467039942741,0.0014303180842034635,19590
3739,1073,1.67608513,1071.0,1961,4016128,0.0003,0.3109396696090698,0.0904504656791687,1.980395043641329,0.0022169163246871905,0.046386495,0.2,0.309375,0.026382679119706154,0.0013160743101252592,19600
3741,1073,1.6779825400000004,1071.0,1962,4018176,0.0003,0.3662736415863037,0.09019806981086731,1.9784693166613578,0.002314017846947536,0.033219326,0.2,0.324072265625,0.00025256688240915537,0.00155405940804485,19610
3743,1073,1.6722007800000003,1071.0,1963,4020224,0.0003,0.4027102589607239,0.09044444561004639,1.9801435369998217,0.007475747133139521,0.03537965,0.2,0.34794921875,-0.011536444537341595,0.0014226132659132418,19620
3745,1073,1.6651689100000004,1071.0,1964,4022272,0.0003,0.2873230576515198,0.09013739228248596,1.9825568798929454,0.0037704169895732774,0.031418197,0.2,0.3359375,-0.0015738863730803132,0.0015924853089018143,19630
3747,1074,1.6559957400000005,1071.0,1965,4024320,0.0003,0.3915899991989136,0.08976533263921738,1.9881738424301147,0.00015023703163024037,0.033436116,0.2,0.331396484375,-0.024523364380002022,0.001436581005145854,19640
3749,1073,1.6533254800000001,1071.0,1966,4026368,0.0003,0.274554967880249,0.0892922580242157,1.995187371969223,0.0036910359645844436,0.04628879,0.2,0.33701171875,-0.00804155133664608,0.0014726269400853198,19650
3751,1073,1.6494912099999997,1071.0,1967,4028416,0.0003,0.36860907077789307,0.0891912654042244,2.0029354337602854,0.008628324521123432,0.044456184,0.2,0.335546875,-0.029443901032209396,0.0014618245562814992,19660
3752,1073,1.6482196399999998,1071.0,1968,4030464,0.0003,0.3678731918334961,0.08853600919246674,2.010969711840153,0.005546179600059986,0.05582001,0.2,0.328369140625,0.01577635109424591,0.0015911189335383823,19670
3754,1073,1.6548929000000001,1071.0,1969,4032512,0.0003,0.358249306678772,0.08849313855171204,2.015826704353094,0.010707246229867452,0.041438017,0.2,0.347509765625,-0.02905857190489769,0.0014946803752536653,19680
3756,1074,1.65607946,1071.0,1970,4034560,0.0003,0.3753211498260498,0.08856165409088135,2.014058232307434,0.0035412135141086763,0.035991706,0.2,0.32470703125,-0.02261883020401001,0.0013704050254091272,19690
3758,1074,1.65361511,1071.0,1971,4036608,0.0003,0.3783717751502991,0.08784595131874084,2.023939650505781,0.005924766673706472,0.036924217,0.2,0.328271484375,-0.018722282722592354,0.0016470383588966797,19700
3760,1073,1.6538183099999997,1071.0,1972,4038656,0.0003,0.31146907806396484,0.0885256677865982,2.0199531517922877,0.009792074181314092,0.033891737,0.2,0.336181640625,-0.005425387993454933,0.001245769683009712,19710
3762,1073,1.6521488899999996,1071.0,1973,4040704,0.0003,0.3875659704208374,0.08946089446544647,2.002638114988804,0.008085357584059238,0.038148057,0.2,0.325,0.01928013563156128,0.0014379210228071316,19720
3764,1073,1.6495893999999998,1071.0,1974,4042752,0.0003,0.38521867990493774,0.08852703124284744,2.005275500193238,0.005141209413704928,0.0382246,0.2,0.3587890625,-0.017321545630693436,0.0013942568612037576,19730
3767,1073,1.64868837,1071.0,1975,4044800,0.0003,0.3814496397972107,0.0885750949382782,2.015376353263855,0.005842679117631633,0.04094946,0.2,0.327587890625,0.009917671792209148,0.0014258112099923893,19740
3769,1073,1.64978407,1071.0,1976,4046848,0.0003,0.36277854442596436,0.08834834396839142,2.0130126677453517,0.008181496128236177,0.048532806,0.2,0.351416015625,0.018444310873746872,0.0016122951736178947,19750
3771,1073,1.64937466,1071.0,1977,4048896,0.0003,0.37478548288345337,0.08867654204368591,2.0154128178954123,0.00914657310640905,0.05112324,0.2,0.335498046875,-0.010158216580748558,0.0014982873921326246,19760
3773,1073,1.6526802499999997,1071.0,1978,4050944,0.0003,0.39016199111938477,0.0887705534696579,2.0082795657217503,0.011169480354874394,0.038466804,0.2,0.359033203125,0.030361006036400795,0.0013890455593355,19770
3776,1073,1.6527822500000002,1071.0,1979,4052992,0.0003,0.3795967102050781,0.08811275660991669,2.0165145926177503,0.003869484382448718,0.03423223,0.2,0.34912109375,0.005779319442808628,0.0016080440425866982,19780
3778,1073,1.6547722500000004,1071.0,1980,4055040,0.0003,0.39115315675735474,0.08712653815746307,2.0369498685002325,0.005653372593224048,0.04202591,0.2,0.322705078125,-0.023650003597140312,0.0016157225298229605,19790
3780,1073,1.6588897500000002,1071.0,1981,4057088,0.0003,0.4035267233848572,0.08660715818405151,2.0497366078197956,0.004932846846350003,0.05071768,0.2,0.364892578125,0.044092558324337006,0.001546458177290333,19800
3782,1073,1.6581030400000003,1071.0,1982,4059136,0.0003,0.39068442583084106,0.08666527271270752,2.055911472439766,0.007663630228489637,0.04538691,0.2,0.3859375,-0.007462246343493462,0.0014507152147416491,19810
3785,1072,1.66045137,1071.0,1983,4061184,0.0003,0.41144055128097534,0.08668599277734756,2.055951935052872,0.008290709424181841,0.049453817,0.2,0.368603515625,0.02519589476287365,0.0015051315913297003,19820
3787,1072,1.6602373600000004,1071.0,1984,4063232,0.0003,0.3080711364746094,0.08644255995750427,2.057713959366083,0.008479478175286204,0.045129225,0.2,0.343701171875,0.03474701941013336,0.001185162349975144,19830
3789,1072,1.66078345,1071.0,1985,4065280,0.0003,0.37849825620651245,0.08641307055950165,2.060691575706005,0.0008287137941806577,0.05656918,0.2,0.350390625,-0.0021417904645204544,0.0014105126492722775,19840
3791,1072,1.65695403,1071.0,1986,4067328,0.0003,0.36864686012268066,0.08563139289617538,2.072526124119759,0.0024543934603570962,0.051712587,0.2,0.362158203125,0.027981199324131012,0.0014575338196664233,19850
3793,1072,1.65968484,1071.0,1987,4069376,0.0003,0.3531004786491394,0.08639349788427353,2.0720540031790735,0.007629908705712296,0.041975375,0.2,0.360595703125,-0.019426902756094933,0.001438836270790489,19860
3795,1072,1.66004908,1071.0,1988,4071424,0.0003,0.36725878715515137,0.08646664023399353,2.06164246276021,0.004279391077579931,0.034508776,0.2,0.322314453125,-0.008044842630624771,0.0014019187148733181,19870
