time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/value_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
5779456,658,8772,2822,28210,2.5425983026623724,0.012209534645080566,0.053144183,0.33466796875,0.2,4.8259418368339535,0.01384296101750806,0.0003,0.022132404148578644,1.1877260208129883,9989.0,-2006.6431423000001
5781504,658,8775,2823,28220,0.833935862686485,-0.2582768201828003,0.05541258,0.3048828125,0.2,4.824133974313736,0.004428881499916315,0.0003,0.022092517465353012,0.38562875986099243,9989.0,-2006.6431423000001
5783552,658,8778,2824,28230,1.2506583619862794,-0.02308833599090576,0.04664763,0.313623046875,0.2,4.822393678128719,0.016007005141000265,0.0003,0.02215685322880745,0.34650933742523193,9989.0,-2006.6431423000001
5785600,658,8781,2825,28240,2.1375073198229075,-0.037020325660705566,0.07065676,0.325,0.2,4.822068710625172,0.01842677733511664,0.0003,0.022121496498584747,0.6484358310699463,9989.0,-2042.1800442900003
5787648,658,8784,2826,28250,16.709720373898744,-0.004032254219055176,0.13482368,0.302392578125,0.2,4.820356424152851,0.011321974676684476,0.0003,0.02224018983542919,8.728093147277832,9989.0,-2042.1800442900003
5789696,658,8786,2827,28260,1.120551499351859,-0.058557748794555664,0.047592063,0.298779296875,0.2,4.812145799398422,0.017029841397015844,0.0003,0.022253576666116714,0.34718355536460876,9989.0,-2042.1800442900003
5791744,658,8789,2828,28270,0.4776587653905153,-0.35420477390289307,0.042513225,0.354833984375,0.2,4.790888746082783,0.012325631754356437,0.0003,0.02259453758597374,0.184034064412117,9989.0,-2042.1800442900003
5793792,658,8792,2829,28280,1.2458310899324716,-0.026326298713684082,0.03611885,0.30302734375,0.2,4.780452746152878,0.011314822455460671,0.0003,0.022532794624567032,0.2770389914512634,9989.0,-2075.5586902000005
5795840,658,8795,2830,28290,15.2441282376647,-0.005670905113220215,0.07383087,0.356591796875,0.2,4.790705208480358,0.010123136892798357,0.0003,0.022320209071040154,5.565321922302246,9989.0,-2075.5586902000005
5797888,658,8798,2831,28300,13.79901367276907,0.006032586097717285,0.09666315,0.3048828125,0.2,4.798377366364003,0.009934304893249646,0.0003,0.022386914119124413,3.7105937004089355,9989.0,-2075.5586902000005
