rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/value_loss,train/policy_gradient_loss,train/std,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/learning_rate
1071.0,1031,1.85306153,407552,199,395,0.001858234418068605,-0.007457850882929051,0.3273788392543793,0.2,0.3652174472808838,-0.5091724746860564,0.019553822,-0.018446819856762886,0.190673828125,1980,0.0003
1071.0,1031,1.8493465100000004,409600,200,396,0.0018069683148496552,-0.005833924887701869,0.32509273290634155,0.2,0.38744622468948364,-0.49129426246508956,0.013388385,-0.023958396166563034,0.193310546875,1990,0.0003
1071.0,1032,1.86099071,411648,201,398,0.002048394277335319,-0.0048415127384942025,0.3200095295906067,0.2,0.37626463174819946,-0.4734240078367293,0.020540547,-0.0063333893194794655,0.214697265625,2000,0.0003
1071.0,1032,1.8730737999999996,413696,202,400,0.0018914864218459114,-0.00928644280647859,0.31650814414024353,0.2,0.3881188631057739,-0.4445772921666503,0.023957882,-0.00733841210603714,0.197216796875,2010,0.0003
1071.0,1033,1.8896136,415744,203,402,0.0020270858563890214,-0.006821793721610447,0.3152121901512146,0.2,0.39618730545043945,-0.4310101615265012,0.015947524,0.00902765616774559,0.21298828125,2020,0.0003
1071.0,1033,1.9070398399999997,417792,204,404,0.002187736824453168,-0.00439443474606378,0.31580519676208496,0.2,0.3905363082885742,-0.4286921459250152,0.019533047,-0.03797050938010216,0.183984375,2030,0.0003
1071.0,1034,1.9229715199999993,419840,205,405,0.001796599940462329,-0.007020686584291979,0.3134787678718567,0.2,0.3072388768196106,-0.42194704795256255,0.021170594,0.0018575390568003058,0.1962890625,2040,0.0003
1071.0,1034,1.9263645499999995,421888,206,407,0.001592426161369076,-0.009481391272856854,0.31029602885246277,0.2,0.32668638229370117,-0.4035797642543912,0.018847372,-0.015481552109122276,0.199853515625,2050,0.0003
1071.0,1035,1.9392017399999997,423936,207,409,0.0020016224641949522,-0.0052391749995877035,0.30882787704467773,0.2,0.37829840183258057,-0.3909409027546644,0.016121253,-0.029089119285345078,0.21591796875,2060,0.0003
1071.0,1035,1.9541242699999999,425984,208,411,0.0022006355007761157,-0.0059965571657812685,0.3098914623260498,0.2,0.37806618213653564,-0.38773978855460883,0.017678775,-0.028893806040287018,0.2076171875,2070,0.0003
