time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/std,train/clip_fraction,train/learning_rate
7917568,3866,1.7136310600000002,8915,888,1071.0,0.0010176872369811463,0.3122314214706421,0.0030394532659556717,0.049719684,-0.006393762771040201,2.4402111433446407,38650,0.2,0.07164395600557327,0.340966796875,0.0003
7919616,3867,1.7102956000000002,8917,888,1071.0,0.0010295075395333696,0.29939979314804077,0.004856473414110951,0.043524086,-0.014595610089600086,2.457419617474079,38660,0.2,0.07101994007825851,0.338623046875,0.0003
7921664,3868,1.7061613800000002,8919,888,1071.0,0.0010494263859072816,0.31761080026626587,0.007237466317019425,0.0597371,-0.025626543909311295,2.478385442495346,38670,0.2,0.0702381283044815,0.32421875,0.0003
7923712,3869,1.7043377800000001,8922,888,1071.0,0.0010478123531356687,0.29853713512420654,0.004826792955282144,0.048677966,0.02462146058678627,2.494433606415987,38680,0.2,0.06977218389511108,0.315234375,0.0003
7925760,3870,1.6995174999999998,8924,888,1071.0,0.0009148985811407329,0.2503923773765564,0.004097715721582062,0.03613217,-0.026116695255041122,2.4846784070134165,38690,0.2,0.07070480287075043,0.339892578125,0.0003
7927808,3871,1.69818359,8926,888,1071.0,0.0010412289482701453,0.2901042103767395,0.006533476557524409,0.034253497,-0.037983477115631104,2.475011484324932,38700,0.2,0.07061152160167694,0.295849609375,0.0003
7929856,3872,1.6966933300000002,8929,888,1071.0,0.0010559459633441293,0.3093124032020569,0.006593186839018017,0.08689565,0.02965611219406128,2.477152389287949,38710,0.2,0.07051035761833191,0.345654296875,0.0003
7931904,3873,1.6938711200000003,8931,888,1071.0,0.0010554179389146157,0.2944059371948242,0.0021624425367917865,0.0416414,0.046362295746803284,2.478402440994978,38720,0.2,0.07058826088905334,0.323583984375,0.0003
7933952,3874,1.6948171700000003,8933,888,1071.0,0.0009869067136605736,0.29837965965270996,0.0030564891334506684,0.03226354,-0.010345324873924255,2.479078634083271,38730,0.2,0.0705554410815239,0.2865234375,0.0003
7936000,3875,1.69609822,8935,888,1071.0,0.0010082684568260448,0.3069291114807129,0.004750430880812928,0.05271839,0.0038820814806967974,2.4890602573752405,38740,0.2,0.06974352896213531,0.316943359375,0.0003
7938048,3876,1.69676343,8938,888,1071.0,0.0010262615775900486,0.30460888147354126,0.01041882305580657,0.040255032,0.006915549281984568,2.499469471722841,38750,0.2,0.06958501785993576,0.35595703125,0.0003
7940096,3877,1.6950077900000002,8940,888,1071.0,0.000993203653524688,0.30525487661361694,0.0041352013213327155,0.041537903,-0.012313389219343662,2.488481254130602,38760,0.2,0.07041577994823456,0.31787109375,0.0003
7942144,3878,1.6925953500000004,8942,888,1071.0,0.0009169303746602963,0.30140823125839233,0.006671793237910606,0.04053751,-0.011050787754356861,2.4801754422485827,38770,0.2,0.07038788497447968,0.3501953125,0.0003
7944192,3879,1.6923611900000004,8945,888,1071.0,0.0010100551521645684,0.30722033977508545,0.005415016354527324,0.047285978,-0.0011356831528246403,2.4859647996723653,38780,0.2,0.070099838078022,0.323583984375,0.0003
7946240,3880,1.6920055500000002,8947,888,1071.0,0.0010005566937252297,0.30425989627838135,0.006948631259729154,0.037033975,-0.0018602607306092978,2.4957570254802706,38790,0.2,0.06968094408512115,0.3197265625,0.0003
7948288,3881,1.69476607,8949,888,1071.0,0.0009073693698155693,0.21813714504241943,0.008127817916101777,0.03663058,-0.031100928783416748,2.5023521326482294,38800,0.2,0.06978124380111694,0.3330078125,0.0003
7950336,3882,1.6953226200000002,8951,888,1071.0,0.001100565572232881,0.29335951805114746,0.0037138992178370246,0.0386621,0.03744140639901161,2.4933283872902394,38810,0.2,0.07007893919944763,0.310009765625,0.0003
7952384,3883,1.6964713500000004,8954,888,1071.0,0.0010715386148149263,0.2956404685974121,0.00544726058433298,0.0327804,0.012761825695633888,2.489566069096327,38820,0.2,0.0701618641614914,0.310107421875,0.0003
7954432,3884,1.6951597800000004,8956,888,1071.0,0.0010582309286292003,0.287322461605072,0.0047130793682299554,0.047917895,-0.043203599750995636,2.487474690377712,38830,0.2,0.0702068954706192,0.33466796875,0.0003
7956480,3885,1.6936023700000005,8958,888,1071.0,0.0010802473914736765,0.2827959656715393,0.010158917092485353,0.053126276,-0.023152805864810944,2.4868071846663953,38840,0.2,0.0702374130487442,0.34384765625,0.0003
7958528,3886,1.6929659900000003,8961,888,1071.0,0.0009336829813946679,0.28879910707473755,0.004931054289045278,0.042411458,0.012519340962171555,2.49461020603776,38850,0.2,0.06991873681545258,0.32275390625,0.0003
7960576,3887,1.6960450400000002,8963,888,1071.0,0.0009407649287823006,0.2836987376213074,0.013186979945749045,0.042286154,0.007328676525503397,2.4844263538718225,38860,0.2,0.07082771509885788,0.33076171875,0.0003
7962624,3888,1.70077424,8965,888,1071.0,0.0009638382943194301,0.306151807308197,0.005165988698718138,0.06397363,0.05947858840227127,2.4811094015836717,38870,0.2,0.07036972045898438,0.338818359375,0.0003
7964672,3889,1.70006124,8967,888,1071.0,0.0009766109315933135,0.2630724310874939,0.00759821043611737,0.041508436,-0.018241634592413902,2.494359651952982,38880,0.2,0.07000566273927689,0.327978515625,0.0003
7966720,3890,1.6987303500000004,8970,888,1071.0,0.0009537134884340049,0.28958094120025635,0.0019347480207215994,0.039886802,0.009303797967731953,2.4966332644224165,38890,0.2,0.07029052823781967,0.324560546875,0.0003
7968768,3891,1.6978450400000002,8972,888,1071.0,0.0008401979837799444,0.29875028133392334,0.008639238620526157,0.034894828,0.0042813001200556755,2.48332709595561,38900,0.2,0.07085536420345306,0.327490234375,0.0003
