Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
1080,82400,2024-03-08,9607.109999999999,-1.0,2,0.0,0.016824651548665984,True,125,126,251,"{'r': 0.016825, 'l': 1070, 't': 202.848231}",False
1080,83470,2024-03-08,10435.830000000004,0.68663645,2,0.0,0.09973030114425961,True,125,118,243,"{'r': 0.09973, 'l': 1070, 't': 205.612008}",False
1080,84540,2024-03-08,8396.330000000007,-0.4155322,0,0.0,-0.11740440369274131,True,116,115,231,"{'r': -0.117404, 'l': 1070, 't': 208.426982}",False
1080,85610,2024-03-08,7780.920000000004,-0.6604267,2,0.0,-0.18408064338012262,True,72,81,153,"{'r': -0.184081, 'l': 1070, 't': 211.115824}",False
1080,86680,2024-03-08,8082.940000000004,1.0,1,0.0,-0.14542834934598428,True,92,99,191,"{'r': -0.145428, 'l': 1070, 't': 213.852601}",False
1080,87750,2024-03-08,9917.829999999993,1.0,1,0.0,0.04980698726229588,True,103,113,216,"{'r': 0.049807, 'l': 1070, 't': 216.551042}",False
1080,88820,2024-03-08,5609.429999999995,-0.6118836,2,0.0,-0.5238163687528122,True,106,120,226,"{'r': -0.523816, 'l': 1070, 't': 219.22409}",False
1080,89890,2024-03-08,6788.619999999996,-0.11317246,0,0.0,-0.3272999404874704,True,111,116,227,"{'r': -0.3273, 'l': 1070, 't': 222.018322}",False
1080,90960,2024-03-08,8837.170000000004,1.0,2,0.0,-0.053701864072889564,True,106,118,224,"{'r': -0.053702, 'l': 1070, 't': 224.83955}",False
1080,92030,2024-03-08,15894.1,1.0,1,0.0,0.5321238626197193,True,105,107,212,"{'r': 0.532124, 'l': 1070, 't': 227.589839}",False
1080,93100,2024-03-08,17467.54,-0.24982959,1,0.0,0.6116201868515495,True,111,114,225,"{'r': 0.61162, 'l': 1070, 't': 230.089454}",False
1080,94170,2024-03-08,7669.680000000003,1.0,0,-0.026351802530321437,-0.20902516819153824,True,110,126,236,"{'r': -0.209025, 'l': 1070, 't': 232.584823}",False
1080,95240,2024-03-08,8238.119999999984,0.9937028,0,-0.012063016941469403,-0.14183182629966098,True,119,123,242,"{'r': -0.141832, 'l': 1070, 't': 235.095017}",False
