time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/approx_kl,train/std,train/learning_rate,train/entropy_loss,train/value_loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
620,122,75776,37,-0.02160923182964325,360,0.2,0.099609375,-0.03815889358520508,0.011159982,0.9411665797233582,0.0003,-2.724187294393778,0.0003112402933311387,-0.0055410666114767086,8323.0,0.5181037777777777
620,125,77824,38,-0.016893258318305016,370,0.2,0.13662109375,-0.08896970748901367,0.016075065,0.9342101216316223,0.0003,-2.7083075433969497,0.0003706231354499323,-0.004507919662864878,8323.0,0.5181037777777777
620,128,79872,39,0.0007333151297643781,380,0.2,0.101513671875,-0.053632497787475586,0.011344621,0.9324296712875366,0.0003,-2.700719156861305,0.00033086341672969863,-0.002248353636241518,8323.0,0.5181037777777777
620,132,81920,40,0.027780894190073013,390,0.2,0.13798828125,-0.035880208015441895,0.014220204,0.9250005483627319,0.0003,-2.689113912731409,0.00034955510800500634,-0.004148413345683366,8323.0,0.5181037777777777
620,135,83968,41,0.02222105860710144,400,0.2,0.101025390625,-0.08900582790374756,0.011960458,0.9234812259674072,0.0003,-2.6796014249324798,0.00026944839119096286,-0.0008757979841902852,8323.0,0.4929366
619,138,86016,42,0.0009882524609565735,410,0.2,0.10908203125,-0.050801873207092285,0.016915727,0.9326717853546143,0.0003,-2.6878817953169345,0.000328650396068042,-0.002992407587589696,8323.0,0.4929366
619,142,88064,43,-0.024882646277546883,420,0.2,0.111376953125,-0.03850829601287842,0.013149635,0.9191363453865051,0.0003,-2.6844493210315705,0.0004394826038151223,-0.007053178033675067,8323.0,0.4929366
619,145,90112,44,0.006061498075723648,430,0.2,0.120263671875,-0.008879423141479492,0.012418697,0.9087402820587158,0.0003,-2.658642639219761,0.0004423214812959486,-0.002647443488240242,8323.0,0.4929366
618,148,92160,45,-0.0035787487868219614,440,0.2,0.134912109375,-0.04895663261413574,0.016662922,0.8988631963729858,0.0003,-2.6341572418808936,0.00033216099900528205,-0.0019820546731352806,8323.0,0.5253242727272727
618,152,94208,46,0.0005370195722207427,450,0.2,0.148388671875,-0.050516605377197266,0.015782708,0.8993158936500549,0.0003,-2.6238135755062104,0.0003123618800600525,0.0005033463152358308,8323.0,0.5253242727272727
617,155,96256,47,-0.007812549360096455,460,0.2,0.1369140625,-0.016808152198791504,0.014693126,0.8918517827987671,0.0003,-2.6169110953807833,0.0003724034414972266,0.003798477572854608,8323.0,0.5253242727272727
617,159,98304,48,0.010481555946171284,470,0.2,0.159765625,-0.013830065727233887,0.021828229,0.8930442333221436,0.0003,-2.609828004986048,0.00044277442389102363,0.0023915735248010604,8323.0,0.5253242727272727
617,162,100352,49,-0.011096170172095299,480,0.2,0.155322265625,0.003961086273193359,0.019466741,0.891204297542572,0.0003,-2.611182054132223,0.000457269654771153,-0.0010459968965733425,8323.0,0.6039955833333334
