time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/std
463,38,1654.0645161290322,466944,-0.1882171075268817,1008,-0.0013914074394657898,0.0020130628572284574,0.01819336600601673,0.04820963541666667,-2.813668695837259,0.0003,370,0.014971375465393066,0.2,0.0044121207,1.0003527402877808
475,39,1654.34375,479232,-0.19753612499999998,1007,-0.0011817725428651708,0.0020603774050262777,-0.002932290080934763,0.0497802734375,-2.808004231626789,0.0003,380,0.02925848960876465,0.2,0.00517128,1.0004795789718628
487,40,1654.5204081632653,491520,-0.19350437755102037,1007,-0.0008323583143161765,0.002185363076599363,-0.002473178319633007,0.05669759114583333,-2.796762873232365,0.0003,390,0.01526731252670288,0.2,0.0053340904,0.9937338829040527
500,41,1654.69,503808,-0.20153954,1007,4.988671644241549e-05,0.0019148495499090737,0.000433986890129745,0.045857747395833336,-2.7936241666475934,0.0003,400,0.006652653217315674,0.2,0.0050740517,0.9975529909133911
512,42,1663.0,516096,-0.21821839999999998,1007,-0.001098275939390684,0.0023554767129705095,0.005119604058563709,0.05646158854166667,-2.798325588926673,0.0003,410,-0.0032830238342285156,0.2,0.0053796764,0.9971733093261719
524,43,1663.0,528384,-0.21971754000000002,1006,-0.000774455986781201,0.0020589486170744446,0.00708039291203022,0.05846354166666667,-2.797971688086788,0.0003,420,-0.0003775358200073242,0.2,0.005139315,1.0010865926742554
537,44,1663.0,540672,-0.22455515,1006,-0.0006056748893267165,0.0021252536316751502,0.026336420327425003,0.05774739583333333,-2.803012542054057,0.0003,430,0.006486952304840088,0.2,0.0065084375,1.006536602973938
549,45,1663.0,552960,-0.21727389,1006,-0.0010844717575916245,0.002219689828173917,0.026971181854605675,0.061865234375,-2.804557133341829,0.0003,440,-0.001489877700805664,0.2,0.006341273,1.0040175914764404
561,46,1663.0,565248,-0.20352656000000002,1005,-0.0015771176736355604,0.002051757026310952,-0.0060767317190766335,0.05218912760416667,-2.8067954863111177,0.0003,450,0.009026646614074707,0.2,0.004874973,1.0089894533157349
574,47,1663.0,577536,-0.2247577,1005,-0.0006629093280935194,0.00229771593597737,-0.015944257378578186,0.0435791015625,-2.8140578048924607,0.0003,460,0.01652395725250244,0.2,0.004729701,1.0109283924102783
