Step,StepGlobal,Balance,Action,Position,Reward,TotalReward,Done,Wins,Losses,TotalTrades,TimeLimit.truncated,Truncated
1080,61000,2024-03-08,20144.219999999998,1.0,1,0.0,0.753935706578673,True,99,88,187,"{'r': 0.753936, 'l': 1070, 't': 62.244317}",False
1080,62070,2024-03-08,20396.93999999998,-1.0,2,0.0,0.7852785236052074,True,102,94,196,"{'r': 0.785279, 'l': 1070, 't': 63.346528}",False
1080,63140,2024-03-08,16393.109999999997,0.8264282,2,0.0,0.5481184848217117,True,100,94,194,"{'r': 0.548118, 'l': 1070, 't': 64.159976}",False
1080,64210,2024-03-08,7018.590000000001,0.3643601,0,0.0,-0.2974755466504288,True,86,116,202,"{'r': -0.297476, 'l': 1070, 't': 65.706366}",False
1080,65280,2024-03-08,10972.14,0.049168542,0,0.0,0.15635962776067475,True,76,104,180,"{'r': 0.15636, 'l': 1070, 't': 66.509805}",False
1080,66350,2024-03-08,31000.04,-0.077978045,0,-0.017021986335989052,1.1994423773736387,True,103,75,178,"{'r': 1.199442, 'l': 1070, 't': 67.989462}",False
1080,67420,2024-03-08,18982.12000000001,-0.8774904,2,0.0,0.6917312069863392,True,99,88,187,"{'r': 0.691731, 'l': 1070, 't': 68.789242}",False
1080,68490,2024-03-08,23368.490000000016,1.0,1,0.0,0.9156993455262809,True,100,85,185,"{'r': 0.915699, 'l': 1070, 't': 70.308558}",False
1080,69560,2024-03-08,10086.66999999999,0.96017224,2,0.0,0.06299311871657554,True,89,112,201,"{'r': 0.062993, 'l': 1070, 't': 71.117201}",False
1080,70630,2024-03-08,10932.590000000002,-0.5306747,2,0.0,0.14295237260762833,True,95,107,202,"{'r': 0.142952, 'l': 1070, 't': 72.619075}",False
1080,71700,2024-03-08,13937.740000000007,-0.38438442,2,0.0,0.41180464772336567,True,88,94,182,"{'r': 0.411805, 'l': 1070, 't': 74.153742}",False
1080,72770,2024-03-08,19559.65,0.7459351,1,0.0,0.7321168674960733,True,102,87,189,"{'r': 0.732117, 'l': 1070, 't': 74.959951}",False
1080,73840,2024-03-08,17746.81000000001,0.07230495,2,0.0,0.645401410834666,True,90,94,184,"{'r': 0.645401, 'l': 1070, 't': 76.053734}",False
1080,74910,2024-03-08,17981.699999999993,-0.26679748,1,0.0,0.6429988601450985,True,95,86,181,"{'r': 0.642999, 'l': 1070, 't': 76.8619}",False
1080,75980,2024-03-08,16020.86,0.9236146,1,0.0,0.5412426079602123,True,89,93,182,"{'r': 0.541243, 'l': 1070, 't': 77.954298}",False
1080,77050,2024-03-08,21344.540000000008,1.0,1,0.0,0.8289227067268998,True,103,82,185,"{'r': 0.828923, 'l': 1070, 't': 78.768353}",False
1080,78120,2024-03-08,15379.599999999999,0.3789784,0,0.0,0.5087897507169781,True,98,98,196,"{'r': 0.50879, 'l': 1070, 't': 79.870554}",False
1080,79190,2024-03-08,15072.949999999999,0.29629433,1,0.0,0.48561947687690415,True,88,89,177,"{'r': 0.485619, 'l': 1070, 't': 80.670825}",False
1080,80260,2024-03-08,22875.510000000006,-0.644822,2,0.0,0.8943932470218313,True,102,91,193,"{'r': 0.894393, 'l': 1070, 't': 81.762183}",False
1080,81330,2024-03-08,18538.870000000003,-0.43861908,0,-0.01527531743902869,0.6920280078089553,True,97,92,189,"{'r': 0.692028, 'l': 1070, 't': 82.567407}",False
1080,82400,2024-03-08,10117.649999999994,0.4463667,2,0.0,0.0762181865347872,True,79,107,186,"{'r': 0.076218, 'l': 1070, 't': 84.103555}",False
1080,83470,2024-03-08,15717.160000000003,0.489972,0,-0.01248502281056575,0.5163906165580358,True,103,97,200,"{'r': 0.516391, 'l': 1070, 't': 84.914728}",False
1080,84540,2024-03-08,19000.149999999987,0.13329235,0,0.0,0.7104266648143878,True,93,91,184,"{'r': 0.710427, 'l': 1070, 't': 86.434374}",False
1080,85610,2024-03-08,20088.38000000001,0.85830677,0,-0.012062271161350783,0.7632582946248577,True,105,90,195,"{'r': 0.763258, 'l': 1070, 't': 87.237052}",False
1080,86680,2024-03-08,14371.249999999998,-1.0,0,0.012484104254951953,0.4277469352508509,True,87,99,186,"{'r': 0.427747, 'l': 1070, 't': 88.741729}",False
1080,87750,2024-03-08,19203.090000000015,-0.5433987,0,-0.01702223066264055,0.7187609988448925,True,97,90,187,"{'r': 0.718761, 'l': 1070, 't': 89.548288}",False
1080,88820,2024-03-08,23001.31,-1.0,2,0.0,0.905067810385385,True,100,93,193,"{'r': 0.905068, 'l': 1070, 't': 90.64678}",False
1080,89890,2024-03-08,13669.400000000007,0.5405269,1,0.0,0.37694677216067046,True,89,100,189,"{'r': 0.376947, 'l': 1070, 't': 91.452871}",False
1080,90960,2024-03-08,11006.479999999998,1.0,1,0.0,0.15954507537735985,True,99,94,193,"{'r': 0.159545, 'l': 1070, 't': 92.552803}",False
1080,92030,2024-03-08,17082.679999999975,-1.0,2,0.0,0.6117717990190811,True,95,98,193,"{'r': 0.611772, 'l': 1070, 't': 93.361142}",False
1080,93100,2024-03-08,26266.6,0.4803541,0,0.0,1.0401466531065628,True,113,79,192,"{'r': 1.040147, 'l': 1070, 't': 94.457345}",False
1080,94170,2024-03-08,19311.66,-0.043055773,0,-0.021221598986739688,0.7355899893016987,True,100,88,188,"{'r': 0.73559, 'l': 1070, 't': 95.264077}",False
1080,95240,2024-03-08,16798.15999999999,0.7125893,2,0.0,0.6016287586016856,True,95,97,192,"{'r': 0.601629, 'l': 1070, 't': 96.370891}",False
1080,96310,2024-03-08,18162.58999999999,-0.8940992,0,-0.015275155020540282,0.6688623014887641,True,88,96,184,"{'r': 0.668862, 'l': 1070, 't': 97.478838}",False
