time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/entropy_loss,train/n_updates,train/explained_variance,train/approx_kl,train/std,train/clip_range,train/policy_gradient_loss,train/value_loss,train/loss,train/learning_rate
972,1331200,989.0,65,0.7980391499999999,1368,0.0788330078125,-1.9536657634750008,640,0.13911545276641846,0.0065364675,0.6440916061401367,0.2,0.0006579425468225963,0.0004962826194878289,0.007049222011119127,0.0003
988,1351680,989.0,66,0.7994854400000001,1367,0.08796875,-1.9273817002400755,650,0.1608991026878357,0.0073301694,0.6368735432624817,0.2,0.00013799717024085112,0.0004958190281604402,0.010843716561794281,0.0003
1004,1372160,989.0,67,0.8215328800000001,1366,0.0853125,-1.897487901300192,660,0.15113919973373413,0.0076715215,0.627007782459259,0.2,7.613683657837101e-05,0.0004932818450197374,-0.003302458208054304,0.0003
1020,1392640,989.0,68,0.8258446500000001,1364,0.083671875,-1.8858530645444989,670,0.12222546339035034,0.0067590014,0.6233859658241272,0.2,0.0005875248873780947,0.0005103232144665526,-0.028444672003388405,0.0003
1036,1413120,989.0,69,0.8351495400000001,1363,0.0845556640625,-1.8767697537690402,680,0.16486412286758423,0.00741992,0.6227025389671326,0.2,0.00017771107886801473,0.00048035970103228466,0.0022682149428874254,0.0003
1051,1433600,989.0,70,0.84330946,1362,0.08591796875,-1.866055730432272,690,0.14571529626846313,0.0072168214,0.618436336517334,0.2,0.00047980310206185094,0.0004812245400080428,-0.019205527380108833,0.0003
1067,1454080,989.0,71,0.86989132,1362,0.083759765625,-1.8548276601731777,700,0.12540274858474731,0.0073737414,0.6158769130706787,0.2,0.0006203955796081573,0.0004724016072077575,0.0030713060405105352,0.0003
1082,1474560,989.0,72,0.8803867,1361,0.0878076171875,-1.8414111883938313,710,0.1333206295967102,0.0076507544,0.6096439957618713,0.2,0.0011537602284806782,0.0005194426074194781,0.008313302882015705,0.0003
1098,1495040,989.0,73,0.8905871999999999,1361,0.085400390625,-1.814779611490667,720,0.13523966073989868,0.0074522262,0.6025660037994385,0.2,0.0001093066499743145,0.0004711622883587552,-0.025843417271971703,0.0003
1114,1515520,989.0,74,0.89353368,1360,0.085654296875,-1.7972981237247587,730,0.16007637977600098,0.007703082,0.5979284048080444,0.2,0.0005137656722217798,0.0005050242105335201,-0.019512629136443138,0.0003
1129,1536000,989.0,75,0.87948974,1359,0.09107421875,-1.7865138467401267,740,0.15984171628952026,0.0075157345,0.5939068794250488,0.2,0.0004503487111651339,0.0004582983054979195,-0.005229384172707796,0.0003
1145,1556480,989.0,76,0.8698097300000001,1359,0.093369140625,-1.7734762833639979,750,0.15531694889068604,0.008123663,0.5915044546127319,0.2,0.0004986002979421756,0.0004607259760996385,-0.01902143284678459,0.0003
1160,1576960,989.0,77,0.8765547699999999,1358,0.091083984375,-1.7669170417264104,760,0.1820136308670044,0.008076055,0.5905359983444214,0.2,8.931586344260723e-05,0.0004916398298018975,0.003788786008954048,0.0003
1176,1597440,989.0,78,0.8749072800000001,1358,0.0877490234375,-1.7486808624118566,770,0.16327351331710815,0.00780929,0.5828351974487305,0.2,0.0007231071108253673,0.0004369996994955727,-0.014745937660336494,0.0003
1192,1617920,989.0,79,0.8899958099999999,1357,0.08287109375,-1.7344405477121472,780,0.1590549349784851,0.0071304813,0.5781930685043335,0.2,0.0006427616455766838,0.00048288497777321026,0.004420139826834202,0.0003
1207,1638400,989.0,80,0.9162764200000001,1356,0.0888330078125,-1.7137359653040767,790,0.16915321350097656,0.008646075,0.5735744833946228,0.2,0.0006131270701007452,0.00047215916188179106,-0.008910182863473892,0.0003
1223,1658880,989.0,81,0.9328389,1356,0.0936474609375,-1.701028337329626,800,0.16051816940307617,0.008014984,0.5706221461296082,0.2,0.0005580621902481653,0.0004711477427099453,0.010074280202388763,0.0003
1238,1679360,989.0,82,0.9309436199999999,1355,0.09134765625,-1.6837091625481844,810,0.17145192623138428,0.0065801255,0.5659884214401245,0.2,0.0009603767645603511,0.0004861420628094493,-0.011244426481425762,0.0003
1254,1699840,989.0,83,0.9458612199999998,1355,0.08728515625,-1.6685992927849294,820,0.16111040115356445,0.007227284,0.5625239610671997,0.2,0.0008040114163304679,0.00047083907828437076,-0.010476682335138321,0.0003
1269,1720320,989.0,84,0.9401835499999999,1354,0.095400390625,-1.655903778411448,830,0.17121434211730957,0.0074947937,0.5581172704696655,0.2,0.0003341496826033108,0.00048018094630151607,-0.004757902584969997,0.0003
1285,1740800,989.0,85,0.95012958,1354,0.0840576171875,-1.6496614748612046,840,0.17476528882980347,0.0068583474,0.5588188171386719,0.2,0.0007041204060078598,0.00048410957228952613,-0.0048450385220348835,0.0003
1301,1761280,989.0,86,0.9610268399999999,1353,0.095615234375,-1.6516771428659558,850,0.19461017847061157,0.0070900335,0.5585859417915344,0.2,0.0009019925935717765,0.00048420416879253026,-0.021805167198181152,0.0003
1317,1781760,989.0,87,0.9623900400000001,1352,0.086904296875,-1.646465860977769,860,0.18977850675582886,0.0077214614,0.5563099384307861,0.2,0.0009274670318700373,0.00048613866490086364,0.008921303786337376,0.0003
1332,1802240,989.0,88,0.9843543199999999,1352,0.0859375,-1.6377354523912073,870,0.19206249713897705,0.006766487,0.5537196397781372,0.2,0.0010779252451902721,0.0004756317781584585,0.02169463038444519,0.0003
1348,1822720,989.0,89,0.9903929000000002,1351,0.0854931640625,-1.6295048690214753,880,0.19427835941314697,0.0073332833,0.5516999959945679,0.2,0.0014200503095344174,0.0004915940024147857,-0.009173126891255379,0.0003
1364,1843200,989.0,90,0.97535708,1351,0.0834228515625,-1.6206505846604704,890,0.181074857711792,0.0068745017,0.5494066476821899,0.2,0.0013810094620566814,0.000504965757691025,0.022184548899531364,0.0003
1380,1863680,989.0,91,0.9755182499999999,1350,0.0893212890625,-1.6122630139812828,900,0.19028770923614502,0.0070744334,0.5460448265075684,0.2,0.0008935379957256373,0.0005266075309918961,-0.003459849627688527,0.0003
1396,1884160,989.0,92,0.98182591,1349,0.090390625,-1.5954801480099559,910,0.19702720642089844,0.0075535267,0.5432684421539307,0.2,0.000678208198514767,0.0004982180130400593,0.001446971669793129,0.0003
1413,1904640,989.0,93,0.9677934699999998,1347,0.09076171875,-1.5772379042953253,920,0.19938379526138306,0.0071877493,0.5385693311691284,0.2,0.00034209817808005026,0.0004739269768697341,0.03351608291268349,0.0003
1429,1925120,989.0,94,0.96421267,1346,0.0936181640625,-1.5514752582460642,930,0.21093672513961792,0.008297464,0.5309766530990601,0.2,0.0008406595409178408,0.0004898922588563437,-0.0007123335963115096,0.0003
1445,1945600,989.0,95,0.97558861,1345,0.095546875,-1.529705834016204,940,0.20969915390014648,0.008506929,0.5245928168296814,0.2,0.00031781707002664916,0.00047805112479181843,0.008766356855630875,0.0003
1462,1966080,989.0,96,0.9843918899999999,1344,0.10025390625,-1.5158782107755542,950,0.2147972583770752,0.0086212475,0.5204985737800598,0.2,-0.00010466422900208272,0.0005095253654280895,-0.013317730277776718,0.0003
1478,1986560,989.0,97,0.9883202900000001,1343,0.0915380859375,-1.5125752084702253,960,0.2253633737564087,0.0071217986,0.5210691690444946,0.2,0.0014989219352719374,0.0005038380508722185,-0.0181319210678339,0.0003
1494,2007040,989.0,98,0.9823689199999999,1342,0.095302734375,-1.5049633722379803,970,0.21991825103759766,0.008310715,0.5191732048988342,0.2,0.0005899859045166522,0.0005311204521831314,-0.013447020202875137,0.0003
1510,2027520,989.0,99,0.9811964799999999,1341,0.096376953125,-1.485251289345324,980,0.22927016019821167,0.0075094737,0.5135698318481445,0.2,0.0014405289688147604,0.0005092718342484659,0.0038825839292258024,0.0003
1527,2048000,989.0,100,0.9836820299999998,1341,0.0980810546875,-1.460014191456139,990,0.23551607131958008,0.00845707,0.5068581104278564,0.2,0.0008200134623621124,0.0005290659860565938,0.02380681037902832,0.0003
1543,2068480,989.0,101,0.9814249799999999,1340,0.09580078125,-1.4325980997085572,1000,0.2165461778640747,0.008581367,0.5011082887649536,0.2,0.0008350220826105214,0.0005028696985527859,0.009698544628918171,0.0003
1559,2088960,989.0,102,0.9980926199999999,1339,0.0963134765625,-1.413471532613039,1010,0.2270621657371521,0.009947375,0.4955872893333435,0.2,0.0012736932020925452,0.0004969874782455009,0.0010134840849786997,0.0003
1576,2109440,989.0,103,1.0217554000000002,1338,0.10630859375,-1.3949947625771164,1020,0.20682644844055176,0.00901604,0.49275490641593933,0.2,0.0006813739382778294,0.0004938583122293494,-0.006069973111152649,0.0003
1592,2129920,989.0,104,1.0299387800000002,1337,0.0948046875,-1.3865454828366637,1030,0.23177510499954224,0.008498864,0.49061596393585205,0.2,0.0009450547980668489,0.0005078349656787395,-0.01619693636894226,0.0003
1608,2150400,989.0,105,1.03213852,1336,0.0961767578125,-1.3804911548644305,1040,0.23253130912780762,0.008893286,0.4907499849796295,0.2,0.0006199427851242944,0.0005189913477443042,-0.0027909576892852783,0.0003
1625,2170880,989.0,106,1.03762852,1335,0.089091796875,-1.3834320352226497,1050,0.23602569103240967,0.007732232,0.489532470703125,0.2,0.0019866858278692234,0.0005270521108059256,-0.004959178622812033,0.0003
1641,2191360,989.0,107,1.04741755,1335,0.0995263671875,-1.3559445836395025,1060,0.2308870553970337,0.009307851,0.48290884494781494,0.2,0.0005010367221257183,0.0005045024877972538,0.014379624277353287,0.0003
1657,2211840,989.0,108,1.05121004,1334,0.1068017578125,-1.3267394866794349,1070,0.23271465301513672,0.0109894695,0.47686922550201416,0.2,0.000748444613564061,0.0004889210633973562,0.005975356325507164,0.0003
1673,2232320,989.0,109,1.0445697699999998,1333,0.1024951171875,-1.3153753650560975,1080,0.2377755045890808,0.008570102,0.4743514060974121,0.2,0.0009064895914343651,0.0005379142534093262,0.009984390810132027,0.0003
1688,2252800,989.0,110,1.0541811299999997,1333,0.0975,-1.2987573847919702,1090,0.2197909951210022,0.008877968,0.4694121479988098,0.2,0.0011447367378423223,0.0005571237529147766,0.0127566521987319,0.0003
1704,2273280,989.0,111,1.05818259,1333,0.096455078125,-1.2944557389616966,1100,0.23813194036483765,0.007963938,0.46792468428611755,0.2,0.0018041196720150765,0.0005184352250262236,-0.00871734693646431,0.0003
1720,2293760,989.0,112,1.0505296,1333,0.0983935546875,-1.2941178627312184,1110,0.24227392673492432,0.008935197,0.468186616897583,0.2,0.0015980662660149392,0.0005127060619042823,0.0007362140459008515,0.0003
1736,2314240,989.0,113,1.0506645000000001,1333,0.0986376953125,-1.2834312527254224,1120,0.24464839696884155,0.008286404,0.46512335538864136,0.2,0.0014948559064941946,0.0005157643737902617,-0.008612895384430885,0.0003
1751,2334720,989.0,114,1.0743659700000001,1332,0.1028369140625,-1.2670026890188455,1130,0.25675487518310547,0.009001238,0.4610939621925354,0.2,0.0012547205325972755,0.0005286866343158181,-0.008273467421531677,0.0003
1767,2355200,989.0,115,1.08000909,1332,0.098134765625,-1.2438248993456364,1140,0.26187509298324585,0.010609757,0.45584505796432495,0.2,0.0013687370310071856,0.0005178394478980408,0.019792882725596428,0.0003
1782,2375680,989.0,116,1.09323013,1332,0.1039990234375,-1.2304508259892464,1150,0.25665032863616943,0.008397815,0.45450735092163086,0.2,0.0013836946469382382,0.0005083358461479292,0.00900796428322792,0.0003
1798,2396160,989.0,117,1.09812069,1332,0.1004443359375,-1.2190716084837914,1160,0.25368618965148926,0.008324134,0.4526001811027527,0.2,0.0016932217302382923,0.0005203142596155885,-0.025556139647960663,0.0003
1814,2416640,989.0,118,1.10064857,1331,0.0998291015625,-1.2103545070067048,1170,0.2578725814819336,0.008226781,0.4518471956253052,0.2,0.0018514202523510902,0.0005364662512511131,0.011202171444892883,0.0003
1830,2437120,989.0,119,1.0926986900000002,1331,0.1053662109375,-1.2132785565778612,1180,0.28503596782684326,0.008864821,0.45180070400238037,0.2,0.0017126158098108135,0.000563478057501925,-0.003955860156565905,0.0003
