time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/loss,train/clip_range,train/explained_variance,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/std
1500,16,0.43848418,989.0,327680,218,-0.020829182118177414,0.2,0.027085065841674805,150,-2.6346439550817013,0.0003,0.0076019554,-0.003258366747904802,0.075478515625,0.0008402803753870103,0.899360716342926
1498,17,0.48598733000000005,989.0,348160,232,-0.0010748030617833138,0.2,0.050013065338134766,160,-2.62753212146461,0.0003,0.0060678143,-0.002229943626734894,0.066533203125,0.0008691610421647056,0.9018716812133789
1497,18,0.55285556,989.0,368640,246,0.018617698922753334,0.2,0.07491177320480347,170,-2.613258967474103,0.0003,0.006794176,-0.0011389297341520433,0.0658349609375,0.0009704675966440845,0.8933769464492798
1495,19,0.6053300100000001,989.0,389120,260,-0.008045170456171036,0.2,0.09392482042312622,180,-2.586083702817559,0.0003,0.006768799,-0.0027621699091105257,0.0716162109375,0.0009617895644259988,0.8806890249252319
1494,20,0.6411026599999999,989.0,409600,274,0.0026249559596180916,0.2,0.09080183506011963,190,-2.5666882923990486,0.0003,0.006824122,-0.0018730034728650935,0.074716796875,0.000888635154315125,0.8734793663024902
1493,21,0.6757901400000002,989.0,430080,287,0.020126501098275185,0.2,0.07331633567810059,200,-2.5594852297753095,0.0003,0.008263831,0.0008473352280270774,0.085546875,0.0008650770919939533,0.8712354302406311
1494,22,0.7361519999999999,989.0,450560,301,0.0068715219385921955,0.2,0.08871394395828247,210,-2.5590868742763995,0.0003,0.007344139,-0.0016907147051824722,0.0725,0.0008942850102448574,0.869576096534729
1494,23,0.7588202999999999,989.0,471040,315,-0.0019515901803970337,0.2,0.10982513427734375,220,-2.5550677596777676,0.0003,0.008118616,-0.0006140876299468801,0.08099609375,0.0009140629112425813,0.869905948638916
1493,24,0.7909335399999999,989.0,491520,329,-0.007969433441758156,0.2,0.10404014587402344,230,-2.5469908680021764,0.0003,0.009507073,0.00021840267319930717,0.0997021484375,0.0009486260299036075,0.8709009885787964
1492,25,0.8184233700000001,989.0,512000,343,-0.0275430791079998,0.2,0.09213382005691528,240,-2.542741083353758,0.0003,0.005914134,-0.0015555237980152015,0.0788525390625,0.0008784389807260595,0.8645910620689392
1491,26,0.84819837,989.0,532480,357,-0.015399116091430187,0.2,0.10595512390136719,250,-2.522942907139659,0.0003,0.007114747,-0.0020629875066515524,0.087333984375,0.0008705750793615152,0.853703498840332
1491,27,0.8874431600000001,989.0,552960,370,0.027673887088894844,0.2,0.10736924409866333,260,-2.4814490584284066,0.0003,0.0071070082,-0.0013978354075516108,0.0801416015625,0.0009312430146110273,0.8386892676353455
1489,28,0.92038625,989.0,573440,384,-0.0014109769836068153,0.2,0.1308518648147583,270,-2.4463471304625273,0.0003,0.0075384863,-0.0010571108458680102,0.0834130859375,0.0009002729840813117,0.8226282000541687
1489,29,1.0036493999999998,989.0,593920,398,0.012977941893041134,0.2,0.14196038246154785,280,-2.421516844257712,0.0003,0.008069936,-0.0015184603426314424,0.0871728515625,0.0009564119643346203,0.814954400062561
