time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,train/value_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/std,train/explained_variance,train/clip_range,train/entropy_loss
542720,1.90240283,265,1071.0,889,610,0.0013976048983749933,0.029926486,0.250927734375,0.0003,-0.030704844743013382,2640,-0.004706091205298435,0.23062127828598022,0.4089861512184143,0.2,0.10819251202046871
544768,1.90144407,266,1071.0,889,612,0.0014275717614509631,0.033882804,0.26259765625,0.0003,0.019551899284124374,2650,-0.0010999173973686993,0.2303251028060913,0.4066914916038513,0.2,0.1201966293156147
546816,1.8969660399999997,267,1071.0,889,614,0.0013025284923060098,0.024492443,0.269580078125,0.0003,-0.03825593739748001,2660,-0.0023637893551494925,0.23374192416667938,0.3710288405418396,0.2,0.10386133641004562
548864,1.8915341999999997,268,1071.0,889,617,0.001359722961933585,0.043726496,0.244140625,0.0003,-0.03669137507677078,2670,-0.00265289799135644,0.23386916518211365,0.40620744228363037,0.2,0.08854268752038479
550912,1.8864319799999996,269,1071.0,889,619,0.0014708294998854398,0.02383377,0.250048828125,0.0003,-0.05004580318927765,2680,-0.00599876566848252,0.2353757619857788,0.3972998261451721,0.2,0.08038029819726944
552960,1.8818019199999998,270,1071.0,889,621,0.001366585650248453,0.021782177,0.234521484375,0.0003,-0.014622955583035946,2690,-0.005739338655257597,0.23489481210708618,0.41201257705688477,0.2,0.0826800886541605
555008,1.8737076199999998,271,1071.0,889,623,0.0013984028148115613,0.025433559,0.232080078125,0.0003,0.026198146864771843,2700,-0.0011425760545535012,0.2358192503452301,0.40430426597595215,0.2,0.08251424320042133
557056,1.86927829,272,1071.0,889,626,0.0015685227308495087,0.030752325,0.2595703125,0.0003,0.04767397418618202,2710,-0.001368195825489238,0.23515036702156067,0.3860023021697998,0.2,0.08010621964931489
559104,1.8723545000000001,273,1071.0,889,628,0.0014921869602403603,0.0342256,0.26376953125,0.0003,-0.01992647908627987,2720,-0.004929539824661333,0.2393074631690979,0.37718814611434937,0.2,0.06409649178385735
561152,1.8708539700000002,274,1071.0,889,630,0.0012721852652248344,0.018671747,0.239697265625,0.0003,0.0026847743429243565,2730,-0.0026840058621019126,0.2352730631828308,0.40443122386932373,0.2,0.06797236911952495
