time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/entropy_loss,train/loss,train/std,train/n_updates,train/clip_fraction,train/explained_variance,train/value_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
984,1392640,170,1415,-0.0006467364353738958,0.2,0.0069829673,-1.2603649790398777,-0.0075821466743946075,0.4595320224761963,1690,0.07825927734375,-0.05999791622161865,0.0009255431234805655,0.0003,0.7619869699999999,4989.0
984,1400832,171,1423,0.0001697428317129379,0.2,0.0045411717,-1.2374616654589772,-0.03370588645339012,0.45373255014419556,1700,0.07523193359375,0.031320154666900635,0.0011495531959099027,0.0003,0.7308864099999998,4989.0
984,1409024,172,1431,-0.0011200235639989842,0.2,0.009098168,-1.2202231548726559,-0.03197835385799408,0.45177456736564636,1710,0.09468994140625,-0.012479066848754883,0.0009224183538890429,0.0003,0.7308864099999998,4989.0
984,1417216,173,1439,-0.0019147582235746086,0.2,0.007269781,-1.2147334566339851,-0.020506933331489563,0.4506777822971344,1720,0.083349609375,0.009407103061676025,0.0005888189754841733,0.0003,0.72161388,4989.0
984,1425408,174,1447,0.0004430466777193942,0.2,0.0056357356,-1.1938959787599743,-0.011945742182433605,0.44483983516693115,1730,0.0747314453125,0.029986083507537842,0.0012252678159939024,0.0003,0.72161388,4989.0
984,1433600,175,1455,0.0009926231774443294,0.2,0.007351563,-1.1678920108824968,0.005486938636749983,0.4395989179611206,1740,0.0826904296875,-0.020625710487365723,0.0008567454471403834,0.0003,0.72161388,4989.0
984,1441792,176,1464,-0.00023827917248127052,0.2,0.008591535,-1.1625692849047482,0.0011134753003716469,0.439500093460083,1750,0.08045654296875,0.037307918071746826,0.0010182693821207066,0.0003,0.7211305299999999,4989.0
984,1449984,177,1472,0.0008079103208729066,0.2,0.009188161,-1.1488617336377502,-0.01644732430577278,0.436814546585083,1760,0.0949951171875,0.0008236169815063477,0.0011768724485591519,0.0003,0.7211305299999999,4989.0
984,1458176,178,1480,0.0008639984192996053,0.2,0.00621063,-1.1353470331989228,-0.0008367521804757416,0.4327957034111023,1770,0.06458740234375,0.050306618213653564,0.000930752264343937,0.0003,0.71408626,4989.0
984,1466368,179,1488,-0.001040331208059797,0.2,0.0069703544,-1.1135931589640677,-0.009665995836257935,0.42797255516052246,1780,0.07979736328125,-0.004289746284484863,0.0008511850083323224,0.0003,0.71408626,4989.0
985,1474560,180,1496,-0.0003903959328454221,0.2,0.0071232147,-1.0997381154447794,-0.017430393025279045,0.42865532636642456,1790,0.081591796875,0.00010293722152709961,0.0010379127528494791,0.0003,0.71408626,4989.0
985,1482752,181,1505,-0.0001389011238643434,0.2,0.0053306273,-1.0902640189044177,-0.010458450764417648,0.4248540997505188,1800,0.0822021484375,0.029200196266174316,0.0012118754669018018,0.0003,0.7049766900000001,4989.0
985,1490944,182,1513,0.0005093852716527181,0.2,0.00627215,-1.0964891091920435,-0.01940038800239563,0.4288201332092285,1810,0.08431396484375,-0.011475682258605957,0.0008265096334753253,0.0003,0.7049766900000001,4989.0
985,1499136,183,1521,0.0008842186398396734,0.2,0.00917175,-1.0832335059531033,-0.001054110238328576,0.4230594038963318,1820,0.1001953125,0.05579739809036255,0.0013805410531176677,0.0003,0.75059759,4989.0
985,1507328,184,1529,-0.0004832658865780104,0.2,0.0073268283,-1.0684326934628188,-0.015751799568533897,0.4227727949619293,1830,0.0687744140625,-0.006081342697143555,0.0010737732234474607,0.0003,0.75059759,4989.0
985,1515520,185,1537,-0.00019600680388975888,0.2,0.006897845,-1.0459987946785987,-0.007181745022535324,0.41660571098327637,1840,0.08546142578125,-0.0003802776336669922,0.0009121963541474543,0.0003,0.75059759,4989.0
985,1523712,186,1545,-0.0007735336417681538,0.2,0.0065424135,-1.0096416564192623,-0.003299519419670105,0.4081023633480072,1850,0.082568359375,0.032362282276153564,0.001293636754326144,0.0003,0.7688795800000001,4989.0
985,1531904,187,1553,0.0005469678049848881,0.2,0.008800715,-0.9797548484522849,0.0003847072075586766,0.40311259031295776,1860,0.09224853515625,-0.012246370315551758,0.001183400309218996,0.0003,0.7688795800000001,4989.0
986,1540096,188,1561,0.000321091591467848,0.2,0.005553892,-0.955820947419852,-0.010949481278657913,0.3996363878250122,1870,0.08316650390625,0.04937338829040527,0.001264111516934463,0.0003,0.77468607,4989.0
986,1548288,189,1570,-0.0005145086539414479,0.2,0.0071617477,-0.9556307766586543,-0.010515430010855198,0.39926111698150635,1880,0.0787109375,-0.01849949359893799,0.0010633744787583055,0.0003,0.77468607,4989.0
986,1556480,190,1578,0.0012553406893857754,0.2,0.005762106,-0.9316213659476489,0.004285357892513275,0.39396095275878906,1890,0.07838134765625,-0.005510210990905762,0.0008598120958140498,0.0003,0.77468607,4989.0
986,1564672,191,1586,-0.0008695440963492728,0.2,0.0068504866,-0.911373105365783,-0.00027348403818905354,0.3892475366592407,1900,0.09849853515625,0.03137695789337158,0.0013630473903276652,0.0003,0.7603193,4989.0
986,1572864,192,1594,0.0011040858058549929,0.2,0.008028723,-0.9066064347978682,0.0029877000488340855,0.3916279375553131,1910,0.09468994140625,0.007839381694793701,0.0012394917800975236,0.0003,0.7603193,4989.0
986,1581056,193,1602,-0.00014608689161832444,0.2,0.008473394,-0.8927250730805099,0.013302893377840519,0.38760074973106384,1920,0.09425048828125,0.03158491849899292,0.001567594297875985,0.0003,0.75549711,4989.0
986,1589248,194,1610,0.00033371681020071263,0.2,0.008682916,-0.8758287178352475,0.007455081213265657,0.3860752582550049,1930,0.089794921875,-0.010259270668029785,0.0010793124561814694,0.0003,0.75549711,4989.0
986,1597440,195,1618,-0.001121285997578525,0.2,0.005999161,-0.8568289197515696,-0.028893934562802315,0.38224294781684875,1940,0.088037109375,0.013387560844421387,0.0007117509332374538,0.0003,0.7690474599999999,4989.0
987,1605632,196,1626,-0.0006062234035198344,0.2,0.0064305067,-0.8427441803272814,-0.01635645516216755,0.37964653968811035,1950,0.08612060546875,0.03865724802017212,0.0015375039803984692,0.0003,0.7690474599999999,4989.0
987,1613824,197,1634,-0.0003631040235632099,0.2,0.0073442087,-0.8341437447816133,0.0048023397102952,0.37924861907958984,1960,0.0908935546875,-0.02945685386657715,0.0011416312000392282,0.0003,0.7690474599999999,4989.0
987,1622016,198,1642,0.0004137167208682513,0.2,0.00630465,-0.815687425294891,0.008123344741761684,0.374764621257782,1970,0.10155029296875,0.03073263168334961,0.0018801242908011774,0.0003,0.7642150200000001,4989.0
